Location;Date Time;Temperature;Humidity
A.C.2.A;2020-04-01 00:11:00;17,37;18,14
E.A.0.B;2020-04-01 00:36:00;17,37;76,33
A.A.3.E;2020-04-01 01:34:00;22,13;4,65
C.B.S.D;2020-04-01 02:25:00;18,48;2,09
E.D.S.A;2020-04-01 02:48:00;18,73;17,24
A.C.S.C;2020-04-01 04:18:00;19,53;54,44
C.B.2.B;2020-04-01 05:22:00;32,03;23,61
C.E.2.B;2020-04-01 05:56:00;35,81;99,69
A.C.S.C;2020-04-01 06:09:00;10,87;30,17
B.A.S.E;2020-04-01 06:12:00;30,15;17,28
D.B.1.B;2020-04-01 06:29:00;15,46;93,03
E.D.0.A;2020-04-01 06:44:00;12,86;84,73
E.D.S.C;2020-04-01 06:56:00;35,3;45,65
C.D.3.E;2020-04-01 07:56:00;24,15;22,77
C.C.1.C;2020-04-01 08:15:00;15,45;68,32
D.B.S.E;2020-04-01 08:27:00;23,05;54,42
A.B.2.A;2020-04-01 08:27:00;16,95;63,79
A.C.3.B;2020-04-01 08:36:00;28,64;3,64
D.B.2.D;2020-04-01 09:04:00;36,53;48,2
D.A.1.C;2020-04-01 09:53:00;13,36;25,25
B.E.2.C;2020-04-01 10:17:00;25,1;20,42
E.B.S.E;2020-04-01 10:46:00;21,89;91,47
D.D.0.A;2020-04-01 10:46:00;21,39;43,62
C.A.0.C;2020-04-01 11:01:00;19,83;22,71
B.E.0.C;2020-04-01 11:03:00;30,86;84,52
C.D.0.A;2020-04-01 11:08:00;26,12;18,1
C.E.2.C;2020-04-01 11:51:00;23,68;24,91
B.D.0.E;2020-04-01 11:55:00;35,58;99,51
B.E.0.E;2020-04-01 12:05:00;23,31;15,38
D.C.2.E;2020-04-01 13:14:00;20,04;31,91
E.D.S.A;2020-04-01 13:26:00;36,15;6,83
E.C.S.E;2020-04-01 13:35:00;29,45;73,06
E.D.2.E;2020-04-01 14:01:00;28,83;96,26
D.A.1.E;2020-04-01 14:02:00;13,68;57,39
D.C.3.A;2020-04-01 15:14:00;34,32;18,69
D.E.0.C;2020-04-01 15:36:00;36,66;98,06
A.A.3.A;2020-04-01 16:40:00;37,35;64,15
B.D.S.B;2020-04-01 16:43:00;23,43;98,27
B.A.1.A;2020-04-01 18:05:00;22,44;72,15
D.B.1.B;2020-04-01 18:29:00;23,0;7,22
B.D.S.B;2020-04-01 18:40:00;20,12;45,5
B.E.0.C;2020-04-01 19:00:00;14,72;80,56
C.C.1.E;2020-04-01 19:45:00;34,23;42,86
E.D.S.C;2020-04-01 20:11:00;17,87;5,91
E.C.2.B;2020-04-01 20:56:00;11,49;76,62
E.B.1.A;2020-04-01 22:03:00;10,16;7,41
D.A.2.A;2020-04-01 22:06:00;22,42;43,71
E.D.3.C;2020-04-01 22:51:00;36,33;9,23
D.A.3.A;2020-04-01 23:32:00;36,3;25,47
E.B.1.B;2020-04-01 23:59:00;28,85;56,67
C.B.3.C;2020-04-02 00:04:00;23,82;24,81
B.B.S.E;2020-04-02 00:17:00;26,85;36,93
E.D.2.D;2020-04-02 00:50:00;19,05;70,67
A.A.S.A;2020-04-02 01:15:00;18,47;17,49
C.A.0.D;2020-04-02 01:16:00;21,88;70,88
A.E.3.B;2020-04-02 02:06:00;19,79;43,76
E.D.0.D;2020-04-02 03:57:00;21,41;62,49
E.B.0.A;2020-04-02 03:57:00;36,49;12,29
A.C.0.A;2020-04-02 04:29:00;13,41;81,63
D.E.S.E;2020-04-02 04:44:00;17,64;67,0
D.B.3.A;2020-04-02 06:11:00;28,92;40,05
D.A.S.B;2020-04-02 06:18:00;25,38;32,93
C.B.S.B;2020-04-02 06:30:00;15,82;10,53
D.A.0.C;2020-04-02 07:02:00;23,54;0,71
A.D.3.C;2020-04-02 07:10:00;33,02;33,41
D.A.1.A;2020-04-02 09:06:00;19,38;54,06
B.A.3.B;2020-04-02 09:27:00;14,72;65,63
D.C.2.C;2020-04-02 10:00:00;17,27;87,89
A.D.3.B;2020-04-02 10:08:00;31,22;18,26
E.D.S.A;2020-04-02 10:41:00;33,04;91,86
E.E.0.D;2020-04-02 10:49:00;19,67;28,42
E.E.2.A;2020-04-02 12:27:00;26,72;37,1
E.B.0.B;2020-04-02 13:17:00;33,55;86,92
E.D.S.E;2020-04-02 13:25:00;11,87;65,52
A.D.3.E;2020-04-02 14:14:00;24,71;51,21
D.E.1.E;2020-04-02 14:45:00;10,26;60,15
E.A.S.E;2020-04-02 14:51:00;30,46;20,85
D.C.2.A;2020-04-02 14:58:00;36,49;94,85
B.B.S.B;2020-04-02 15:00:00;18,93;77,75
E.C.1.B;2020-04-02 15:21:00;22,26;48,07
C.B.1.A;2020-04-02 15:25:00;24,47;17,67
D.B.S.C;2020-04-02 15:48:00;23,59;6,87
B.B.S.A;2020-04-02 15:50:00;18,67;80,87
C.C.0.D;2020-04-02 16:31:00;20,78;40,02
B.D.1.A;2020-04-02 17:07:00;37,22;21,37
E.D.3.B;2020-04-02 17:07:00;16,21;98,59
A.D.3.E;2020-04-02 17:51:00;31,24;14,84
D.A.3.A;2020-04-02 18:05:00;31,24;72,65
C.D.2.E;2020-04-02 19:14:00;22,1;17,76
B.C.0.A;2020-04-02 19:30:00;29,3;62,2
A.C.2.B;2020-04-02 19:35:00;24,9;86,93
C.B.0.A;2020-04-02 19:41:00;30,83;89,22
E.A.S.A;2020-04-02 20:25:00;23,2;94,53
C.C.1.C;2020-04-02 20:25:00;36,66;93,1
B.A.2.D;2020-04-02 20:27:00;12,01;90,07
C.E.2.E;2020-04-02 21:26:00;33,74;7,92
D.C.2.A;2020-04-02 21:48:00;26,96;81,81
D.B.S.D;2020-04-02 22:32:00;18,31;85,48
D.D.0.D;2020-04-02 23:23:00;14,18;40,41
E.D.1.B;2020-04-02 23:29:00;15,24;3,17
C.D.1.A;2020-04-02 23:51:00;26,3;65,85
C.E.S.E;2020-04-03 02:47:00;27,18;88,57
B.E.3.C;2020-04-03 03:05:00;10,66;89,35
A.C.1.D;2020-04-03 03:24:00;21,76;38,66
A.C.2.A;2020-04-03 03:44:00;22,43;80,34
C.C.1.D;2020-04-03 04:27:00;32,63;90,35
C.B.2.C;2020-04-03 05:42:00;26,05;20,17
B.E.S.A;2020-04-03 06:32:00;23,25;54,27
E.D.3.A;2020-04-03 06:51:00;29,16;27,83
C.A.0.B;2020-04-03 08:30:00;33,4;50,88
D.E.2.A;2020-04-03 08:55:00;11,35;62,01
D.C.S.A;2020-04-03 09:05:00;18,11;42,29
B.A.S.C;2020-04-03 09:40:00;27,53;16,89
B.A.S.A;2020-04-03 09:44:00;37,44;14,84
A.C.3.C;2020-04-03 09:45:00;14,18;85,3
C.C.S.D;2020-04-03 09:46:00;13,4;10,6
A.C.1.D;2020-04-03 10:54:00;12,1;83,62
C.E.2.A;2020-04-03 11:11:00;33,18;93,65
C.A.2.B;2020-04-03 11:20:00;14,95;80,24
A.B.2.E;2020-04-03 12:16:00;25,76;85,73
B.D.1.B;2020-04-03 12:23:00;17,44;26,03
D.E.1.E;2020-04-03 12:31:00;20,84;35,06
B.B.1.D;2020-04-03 13:57:00;18,03;41,71
B.D.1.D;2020-04-03 16:19:00;26,39;64,85
D.E.1.B;2020-04-03 19:12:00;18,88;7,38
E.D.S.C;2020-04-03 19:45:00;24,57;62,5
A.C.S.C;2020-04-03 19:59:00;17,74;29,08
D.D.S.E;2020-04-03 20:12:00;32,75;61,49
B.C.3.C;2020-04-03 20:16:00;21,99;94,51
C.B.S.A;2020-04-03 20:20:00;31,4;75,11
B.E.0.C;2020-04-03 20:47:00;10,4;95,49
A.C.3.B;2020-04-03 21:19:00;14,3;54,2
B.B.3.C;2020-04-03 22:02:00;15,72;12,08
C.C.S.D;2020-04-03 22:36:00;33,59;49,34
