day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-01;C.E;12.16;37.75;27.31;68.79;-15.15;-31.04
2020-04-12;C.E;33.53;62.26;22.26;39.47;11.27;22.79
2020-04-15;E.A;28.95;56.25;30.99;17.81;-2.04;38.44
2020-04-17;D.D;33.04;70.56;30.78;93.9;2.26;-23.34
2020-05-14;B.B;22.02;82.39;22.58;34.97;-0.56;47.42
2020-05-25;B.D;31.14;74.22;21.24;55.56;9.9;18.66
2020-06-04;D.E;29.24;57.73;19.07;60.62;10.17;-2.89
2020-06-27;D.A;30.29;53.93;22.87;54.68;7.42;-0.75
2020-06-30;A.E;30.65;64.89;20.73;79.02;9.92;-14.13
2020-07-22;D.D;26.47;51.3;22.65;44.97;3.82;6.33
2020-07-26;D.E;18.14;31.53;24.65;96.63;-6.51;-65.1
2020-08-05;D.C;24.3;43.7;20.99;54.3;3.31;-10.6
2020-09-15;B.E;21.99;71.2;26.93;51.7;-4.94;19.5
2020-09-27;E.A;32.03;49.76;15.11;59.44;16.92;-9.68
2020-11-08;A.C;24.04;57.56;26.83;2.61;-2.79;54.95
2020-11-26;D.C;25.06;52.18;16.89;63.82;8.17;-11.64
2020-11-29;D.E;27.73;69.61;30.31;50.38;-2.58;19.23
2020-12-04;A.A;24.45;55.56;19.99;57.99;4.46;-2.43
2020-12-12;B.D;24.43;31.87;26.3;53.36;-1.87;-21.49
2020-12-18;C.B;30.97;86.23;20.43;43.74;10.54;42.49
2020-12-24;D.B;20.66;61.87;21.91;64.31;-1.25;-2.44
2020-12-25;E.B;21.03;49.2;29.96;20.67;-8.93;28.53
2021-01-15;D.D;15.77;10.15;27.64;29.9;-11.87;-19.75
2021-01-16;A.E;19.11;23.92;26.87;76.5;-7.76;-52.58
2021-02-02;E.A;33.81;79.86;24.93;32.0;8.88;47.86
2021-02-07;B.E;17.28;97.3;18.07;30.99;-0.79;66.31
2021-02-12;B.D;31.66;56.85;20.74;48.98;10.92;7.87
2021-02-18;D.C;26.37;86.54;28.76;27.99;-2.39;58.55
2021-03-05;B.B;24.79;52.76;13.11;94.32;11.68;-41.56
2021-03-13;B.B;11.71;24.62;27.31;44.14;-15.6;-19.52
2021-03-14;B.C;15.61;50.14;29.42;18.05;-13.81;32.09
2021-03-17;A.E;16.85;64.94;25.02;39.75;-8.17;25.19
2021-05-07;A.E;20.36;46.26;13.47;48.64;6.89;-2.38
2021-06-10;D.C;30.34;43.96;21.95;60.45;8.39;-16.49
2021-06-23;E.C;28.99;62.98;21.86;4.99;7.13;57.99
2021-07-12;D.A;14.24;60.25;15.97;66.94;-1.73;-6.69
2021-08-05;D.B;20.5;25.89;25.87;84.31;-5.37;-58.42
2021-08-06;E.C;36.63;60.92;24.14;65.51;12.49;-4.59
2021-09-05;B.D;23.31;25.02;21.4;23.96;1.91;1.06
2021-09-16;C.E;22.56;49.08;26.63;35.24;-4.07;13.84
2021-09-23;C.D;24.29;29.54;24.01;74.43;0.28;-44.89
2021-10-09;C.C;15.7;61.41;24.24;67.29;-8.54;-5.88
2021-10-15;E.D;30.64;85.73;23.51;48.8;7.13;36.93
2021-10-15;E.E;26.23;72.57;19.36;64.6;6.87;7.97
2021-10-27;C.C;14.27;60.16;29.22;78.82;-14.95;-18.66
2021-12-02;B.B;25.13;44.61;27.12;45.76;-1.99;-1.15
2022-01-05;E.E;27.39;61.35;18.31;38.54;9.08;22.81
2022-01-07;B.E;25.28;67.22;29.76;51.59;-4.48;15.63
2022-02-14;C.E;27.74;61.68;25.85;58.0;1.89;3.68
2022-03-04;C.E;27.66;44.42;10.08;98.9;17.58;-54.48
2022-03-10;B.C;35.44;63.25;29.86;37.5;5.58;25.75
2022-03-17;E.B;25.55;12.98;21.85;51.03;3.7;-38.05
2022-04-09;D.C;21.04;41.08;16.3;30.83;4.74;10.25
2022-07-12;D.D;17.81;46.43;26.37;60.92;-8.56;-14.49
2022-07-22;B.C;20.61;61.02;35.53;19.26;-14.92;41.76
2022-07-30;A.A;12.08;36.12;26.41;13.06;-14.33;23.06
2020-10-16;A.D;20.53;43.27;21.24;97.08;-0.71;-53.81
2021-01-25;A.E;17.06;42.8;29.27;59.89;-12.21;-17.09
2021-02-10;A.E;25.58;44.7;19.75;61.49;5.83;-16.79
2021-02-25;A.D;31.56;68.02;33.58;79.79;-2.02;-11.77
2021-04-12;C.B;24.69;20.3;17.56;56.96;7.13;-36.66
2021-05-19;C.D;24.25;67.5;19.21;52.89;5.04;14.61
2021-08-07;D.B;22.43;80.48;14.8;40.24;7.63;40.24
2021-08-16;A.E;23.36;58.23;23.78;48.67;-0.42;9.56
2021-10-16;A.D;23.66;46.24;31.48;41.04;-7.82;5.2
2021-11-10;B.A;12.33;34.75;34.52;69.44;-22.19;-34.69
2021-11-12;B.D;15.23;75.09;31.92;38.35;-16.69;36.74
2021-12-25;A.A;29.41;83.88;12.92;51.71;16.49;32.17
2022-01-20;A.E;36.71;92.0;18.75;48.76;17.96;43.24
2022-02-13;A.E;35.66;49.45;23.88;46.14;11.78;3.31
2022-04-17;A.B;23.14;41.36;22.57;12.89;0.57;28.47
2022-04-30;A.E;21.71;52.52;24.42;69.0;-2.71;-16.48
2022-06-21;A.A;17.7;33.33;36.57;37.95;-18.87;-4.62
2022-06-28;A.B;27.74;70.14;27.89;56.25;-0.15;13.89
2022-08-02;B.D;30.36;13.63;22.82;74.25;7.54;-60.62
