day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-01;D.D;27.18;47.39;27.38;88.98;-0.2;-41.59
2020-04-07;A.E;24.88;71.16;27.43;21.71;-2.55;49.45
2020-04-13;D.A;22.95;80.13;16.31;38.79;6.64;41.34
2020-04-14;E.E;25.39;77.15;12.24;70.95;13.15;6.2
2020-04-19;D.C;18.98;30.48;17.48;53.32;1.5;-22.84
2020-04-28;B.A;21.81;30.78;25.32;50.85;-3.51;-20.07
2020-05-03;A.C;20.66;48.8;29.91;61.24;-9.25;-12.44
2020-05-14;D.A;29.09;63.91;24.4;24.25;4.69;39.66
2020-05-19;B.E;34.45;82.92;27.34;4.83;7.11;78.09
2020-05-23;B.D;28.15;49.68;20.43;41.33;7.72;8.35
2020-06-16;A.B;21.37;57.66;14.1;86.12;7.27;-28.46
2020-07-05;C.E;28.95;42.09;23.7;62.7;5.25;-20.61
2020-07-14;E.A;28.83;39.65;23.3;32.54;5.53;7.11
2020-07-21;C.E;35.09;65.37;26.19;15.5;8.9;49.87
2020-08-15;D.B;29.5;46.21;13.01;66.75;16.49;-20.54
2020-08-29;D.E;22.36;72.11;29.78;46.67;-7.42;25.44
2020-09-03;B.C;23.49;81.7;19.89;58.75;3.6;22.95
2020-09-10;C.A;17.3;44.17;26.69;70.33;-9.39;-26.16
2020-09-16;D.C;25.53;30.35;24.39;52.96;1.14;-22.61
2020-09-23;E.B;25.03;75.13;28.19;72.04;-3.16;3.09
2020-10-28;D.E;13.83;16.67;27.93;61.28;-14.1;-44.61
2020-11-15;B.E;29.06;36.66;21.77;55.14;7.29;-18.48
2020-11-25;C.D;22.22;77.98;16.73;52.85;5.49;25.13
2020-12-22;B.B;19.84;31.14;21.36;34.82;-1.52;-3.68
2020-12-28;C.A;20.41;32.97;19.58;89.24;0.83;-56.27
2021-01-08;A.E;20.12;53.18;19.81;35.39;0.31;17.79
2021-02-04;E.A;25.88;48.01;26.01;58.53;-0.13;-10.52
2021-02-23;D.A;22.51;16.41;25.84;87.11;-3.33;-70.7
2021-02-23;C.D;21.71;15.72;27.79;79.92;-6.08;-64.2
2021-03-13;E.D;16.46;71.76;25.22;41.6;-8.76;30.16
2021-03-25;C.C;20.63;68.52;24.62;57.81;-3.99;10.71
2021-03-26;D.C;17.15;43.48;23.23;63.66;-6.08;-20.18
2021-04-15;A.A;18.92;40.43;14.97;64.18;3.95;-23.75
2021-04-18;B.D;35.16;18.57;26.69;27.42;8.47;-8.85
2021-05-31;E.A;30.83;30.84;24.03;68.9;6.8;-38.06
2021-07-01;E.A;23.45;30.01;13.42;88.4;10.03;-58.39
2021-07-22;A.E;19.65;49.16;27.59;84.01;-7.94;-34.85
2021-08-15;B.E;23.82;30.76;25.98;43.53;-2.16;-12.77
2021-08-21;C.B;16.88;79.46;27.45;31.69;-10.57;47.77
2021-09-08;E.E;24.34;54.45;15.11;45.87;9.23;8.58
2021-09-27;D.C;27.25;21.3;26.41;38.49;0.84;-17.19
2021-10-08;E.A;37.32;10.4;20.93;45.22;16.39;-34.82
2021-10-12;B.A;18.19;82.9;12.4;96.62;5.79;-13.72
2021-11-28;D.C;25.68;47.7;17.88;56.77;7.8;-9.07
2021-12-04;D.A;11.31;36.6;27.47;63.23;-16.16;-26.63
2021-12-12;E.A;26.92;66.81;16.6;52.59;10.32;14.22
2021-12-17;C.C;12.99;40.23;10.43;45.08;2.56;-4.85
2021-12-22;B.C;20.43;28.04;26.65;56.27;-6.22;-28.23
2022-01-10;A.D;34.47;17.78;21.16;89.76;13.31;-71.98
2022-02-19;D.A;26.33;54.91;29.96;79.54;-3.63;-24.63
2022-02-25;B.E;25.43;58.46;23.79;34.14;1.64;24.32
2022-03-05;E.D;31.89;41.75;11.29;62.19;20.6;-20.44
2022-03-18;A.D;33.12;39.14;34.14;51.47;-1.02;-12.33
