day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-16;A.B;17.07;33.74;24.82;77.34;-7.75;-43.6
2020-04-18;B.B;28.84;42.56;27.72;31.12;1.12;11.44
2020-04-24;C.A;35.72;28.42;32.41;77.78;3.31;-49.36
2020-04-27;A.B;19.74;61.59;25.68;24.48;-5.94;37.11
2020-05-04;E.B;16.88;53.06;27.23;33.26;-10.35;19.8
2020-05-17;B.A;23.22;61.4;17.31;63.71;5.91;-2.31
2020-05-19;C.A;24.14;19.48;22.42;14.43;1.72;5.05
2020-05-29;A.B;26.97;63.27;25.96;42.89;1.01;20.38
2020-05-31;C.D;21.86;58.76;21.69;13.78;0.17;44.98
2020-06-02;A.E;22.23;52.08;33.01;31.03;-10.78;21.05
2020-06-10;C.C;30.18;89.38;26.43;47.38;3.75;42.0
2020-06-13;D.D;23.73;59.92;27.27;16.74;-3.54;43.18
2020-06-22;C.D;24.41;50.06;17.74;45.29;6.67;4.77
2020-08-23;B.D;18.48;19.36;19.09;30.95;-0.61;-11.59
2020-09-06;C.B;10.33;25.28;20.64;57.14;-10.31;-31.86
2020-09-17;D.D;34.56;25.91;34.47;50.03;0.09;-24.12
2020-11-02;D.E;16.64;31.06;23.83;7.02;-7.19;24.04
2020-12-11;C.A;26.98;77.08;25.9;42.46;1.08;34.62
2020-12-15;D.A;33.84;71.66;23.52;66.25;10.32;5.41
2021-01-03;D.E;25.98;25.82;29.33;14.8;-3.35;11.02
2021-01-05;C.B;22.29;46.49;21.75;99.61;0.54;-53.12
2021-01-28;E.D;24.44;45.7;11.8;82.12;12.64;-36.42
2021-02-08;D.D;21.61;44.97;23.96;16.51;-2.35;28.46
2021-02-10;D.A;29.05;43.99;26.46;34.81;2.59;9.18
2021-02-13;C.C;30.28;40.69;26.15;47.63;4.13;-6.94
2021-02-28;D.E;26.63;50.26;22.7;51.07;3.93;-0.81
2021-04-03;A.A;15.68;65.62;23.12;81.57;-7.44;-15.95
2021-04-20;D.B;34.06;0.27;23.7;31.8;10.36;-31.53
2021-04-30;A.E;11.55;49.38;26.89;46.34;-15.34;3.04
2021-05-27;B.E;17.7;94.8;24.1;41.92;-6.4;52.88
2021-06-11;E.E;22.73;14.23;24.41;86.75;-1.68;-72.52
2021-07-06;A.E;15.56;49.24;30.55;63.68;-14.99;-14.44
2021-07-15;E.B;23.16;40.41;20.31;9.14;2.85;31.27
2021-07-21;E.A;27.74;42.83;34.24;18.38;-6.5;24.45
2021-08-02;C.B;20.34;50.2;23.92;67.32;-3.58;-17.12
2021-08-07;C.C;19.87;74.52;35.13;66.05;-15.26;8.47
2021-08-08;D.C;29.55;51.18;18.62;58.27;10.93;-7.09
2021-09-13;E.E;17.48;47.77;25.12;62.89;-7.64;-15.12
2021-09-14;B.D;18.24;43.17;30.24;61.74;-12.0;-18.57
2021-09-15;E.E;25.79;24.68;23.04;77.48;2.75;-52.8
2021-09-22;D.E;24.35;49.01;23.71;28.43;0.64;20.58
2021-09-26;D.B;26.13;28.53;13.2;26.01;12.93;2.52
2021-10-02;E.A;20.81;57.16;25.56;33.3;-4.75;23.86
2021-10-10;D.B;17.17;53.01;12.71;48.12;4.46;4.89
2021-12-01;E.A;29.22;74.1;23.73;60.53;5.49;13.57
2021-12-13;B.A;20.05;49.09;12.1;67.79;7.95;-18.7
2021-12-14;E.E;35.1;89.96;25.31;27.3;9.79;62.66
2021-12-24;B.B;25.21;51.94;27.26;61.96;-2.05;-10.02
2021-12-25;D.D;20.91;23.22;23.08;42.02;-2.17;-18.8
2021-12-25;C.D;21.62;65.64;24.61;67.3;-2.99;-1.66
2022-01-02;C.A;24.85;46.04;29.4;30.03;-4.55;16.01
2022-01-15;E.C;29.32;48.26;21.14;65.37;8.18;-17.11
2022-01-27;B.B;28.89;60.31;24.05;61.03;4.84;-0.72
2022-03-25;B.D;23.81;31.65;32.23;68.75;-8.42;-37.1
2022-04-26;A.A;22.91;44.07;37.12;20.14;-14.21;23.93
2022-05-10;B.B;20.19;37.52;35.2;74.75;-15.01;-37.23
2022-07-05;C.A;24.63;43.44;36.68;47.76;-12.05;-4.32
2022-07-17;D.D;25.45;26.0;26.47;30.87;-1.02;-4.87
2022-08-09;B.E;17.89;47.44;25.05;39.6;-7.16;7.84
2022-08-21;D.B;16.57;75.53;12.43;33.27;4.14;42.26
2020-11-06;C.D;22.03;83.08;19.27;91.85;2.76;-8.77
2020-11-24;C.B;20.74;54.77;30.53;54.7;-9.79;0.07
2020-12-29;A.C;26.31;39.06;18.28;60.64;8.03;-21.58
2020-12-31;A.B;32.51;49.84;22.74;93.06;9.77;-43.22
2021-01-04;A.B;24.04;34.68;15.93;62.62;8.11;-27.94
2021-02-17;A.E;17.09;59.53;35.63;31.94;-18.54;27.59
2021-04-11;C.D;27.78;89.74;12.23;69.92;15.55;19.82
2021-04-16;D.C;12.67;29.67;11.06;27.04;1.61;2.63
2021-05-17;C.C;24.22;44.71;18.84;64.19;5.38;-19.48
2022-02-09;B.A;19.59;23.62;19.84;66.76;-0.25;-43.14
2022-02-20;C.A;18.57;50.26;25.91;30.27;-7.34;19.99
2022-03-04;B.A;19.85;40.34;33.42;29.87;-13.57;10.47
2022-03-29;A.B;11.13;57.94;16.14;46.7;-5.01;11.24
2022-06-28;C.A;24.29;35.72;20.12;46.29;4.17;-10.57
2022-07-07;C.D;26.94;38.14;25.46;12.29;1.48;25.85
