day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-03;E.D.0;25.19;65.75;17.12;70.16;8.07;-4.41
2020-05-21;C.B.3;26.57;38.35;28.99;57.31;-2.42;-18.96
2020-05-27;A.C.1;26.91;55.4;34.18;87.14;-7.27;-31.74
2020-06-15;A.B.3;19.62;75.99;21.25;62.09;-1.63;13.9
2020-06-15;B.C.S;30.03;18.56;36.05;58.03;-6.02;-39.47
2020-07-04;C.C.1;34.53;87.83;33.41;28.22;1.12;59.61
2020-07-08;A.B.3;17.08;89.02;24.98;81.35;-7.9;7.67
2020-07-20;A.B.3;30.42;5.91;23.72;35.89;6.7;-29.98
2020-09-08;A.B.3;17.45;51.6;24.33;53.22;-6.88;-1.62
2020-10-20;C.B.0;37.21;71.03;22.23;91.07;14.98;-20.04
2020-10-24;C.D.S;25.86;69.31;29.87;13.45;-4.01;55.86
2020-11-10;A.B.2;26.93;51.78;15.48;19.85;11.45;31.93
2020-11-25;C.C.3;12.58;20.28;30.53;94.35;-17.95;-74.07
2020-12-03;C.E.3;19.05;22.52;20.92;98.04;-1.87;-75.52
2021-01-22;B.D.0;26.44;32.27;33.78;78.24;-7.34;-45.97
2021-02-01;D.C.0;24.34;42.87;29.24;60.16;-4.9;-17.29
2021-02-07;B.C.S;26.14;8.07;25.56;5.22;0.58;2.85
2021-03-23;D.D.0;35.98;81.61;37.0;81.21;-1.02;0.4
2021-03-30;C.B.2;28.01;72.78;19.78;81.12;8.23;-8.34
2021-04-02;E.C.2;24.17;18.33;19.99;89.65;4.18;-71.32
2021-04-02;B.D.1;11.49;80.75;21.73;24.42;-10.24;56.33
2021-05-24;E.B.3;18.44;80.26;27.17;57.77;-8.73;22.49
2021-05-25;D.D.3;32.34;71.31;27.36;93.39;4.98;-22.08
2021-06-12;D.E.2;27.59;74.56;21.87;33.67;5.72;40.89
2021-06-14;E.D.3;14.53;66.92;28.25;13.1;-13.72;53.82
2021-07-12;E.A.1;31.42;73.0;22.26;33.43;9.16;39.57
2021-07-13;D.E.3;25.44;89.32;36.13;62.75;-10.69;26.57
2021-07-25;D.D.2;21.38;48.46;20.18;17.03;1.2;31.43
2021-07-28;A.D.0;28.42;33.11;23.07;50.65;5.35;-17.54
2021-08-11;B.A.0;17.94;95.46;31.16;90.35;-13.22;5.11
2021-09-07;A.A.0;32.58;84.06;24.84;23.48;7.74;60.58
2021-09-25;C.C.0;35.09;52.88;31.06;16.9;4.03;35.98
2021-09-26;D.B.0;19.4;17.38;15.53;25.35;3.87;-7.97
2021-10-16;C.C.2;23.93;68.18;18.2;43.18;5.73;25.0
2021-11-12;E.D.S;19.13;99.68;27.19;37.5;-8.06;62.18
2021-11-20;D.B.S;25.1;14.4;15.92;94.83;9.18;-80.43
2021-11-20;D.A.S;22.77;71.16;23.51;85.94;-0.74;-14.78
2021-12-14;D.C.S;26.64;99.62;19.49;66.07;7.15;33.55
2021-12-16;B.C.2;23.82;16.43;15.08;2.26;8.74;14.17
2022-01-08;C.A.1;32.84;3.37;25.68;40.49;7.16;-37.12
2022-01-19;B.A.2;24.86;1.16;24.03;59.64;0.83;-58.48
2022-01-26;E.E.S;30.68;74.16;21.91;56.83;8.77;17.33
2022-01-27;A.E.2;23.68;69.64;21.49;25.0;2.19;44.64
2022-02-06;B.B.S;11.87;57.92;24.68;64.58;-12.81;-6.66
2022-02-22;D.A.2;15.57;28.12;31.02;65.0;-15.45;-36.88
2022-03-03;A.E.1;11.62;45.38;30.93;46.82;-19.31;-1.44
2022-03-07;B.A.1;27.12;32.52;32.58;97.42;-5.46;-64.9
2022-03-09;A.B.3;17.83;52.5;29.93;92.97;-12.1;-40.47
2022-03-20;B.A.0;34.64;29.26;14.04;6.26;20.6;23.0
2022-04-10;B.D.1;28.84;5.67;32.09;56.66;-3.25;-50.99
2022-04-13;C.C.S;18.94;5.11;29.34;42.7;-10.4;-37.59
2022-05-19;B.B.3;23.81;55.75;23.89;52.51;-0.08;3.24
2022-05-25;E.D.1;34.27;25.31;33.21;60.26;1.06;-34.95
2022-06-20;A.A.3;14.95;98.4;32.97;69.76;-18.02;28.64
2022-06-28;B.A.2;15.01;70.16;19.95;9.16;-4.94;61.0
2022-07-23;C.A.2;23.34;77.75;16.99;53.48;6.35;24.27
2022-08-09;A.D.1;33.24;27.59;11.82;11.19;21.42;16.4
2022-08-21;A.D.0;21.01;33.45;19.54;71.32;1.47;-37.87
2020-12-08;D.A.1;32.4;43.14;10.27;19.06;22.13;24.08
2021-04-13;E.D.1;17.95;41.14;26.84;98.04;-8.89;-56.9
2021-05-09;E.E.2;13.45;36.28;29.93;32.66;-16.48;3.62
