day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-08;B.C.2;20.36;27.69;28.25;83.23;-7.89;-55.54
2020-05-07;D.D.0;31.43;81.0;11.21;81.5;20.22;-0.5
2020-06-30;C.B.0;28.64;69.41;11.46;71.89;17.18;-2.48
2020-07-11;B.A.1;19.56;8.91;15.52;44.14;4.04;-35.23
2020-07-17;E.D.2;33.14;5.45;17.31;86.16;15.83;-80.71
2020-07-23;C.E.S;26.07;58.07;20.23;6.5;5.84;51.57
2020-07-26;E.E.1;24.06;62.67;13.22;92.91;10.84;-30.24
2020-09-04;A.E.1;20.42;14.78;12.95;98.46;7.47;-83.68
2020-10-03;A.C.2;16.58;96.21;31.76;75.55;-15.18;20.66
2020-10-12;E.D.3;10.48;24.54;20.16;52.73;-9.68;-28.19
2020-10-16;D.E.3;23.47;39.98;14.51;23.22;8.96;16.76
2020-10-23;D.B.0;23.26;37.59;36.64;62.74;-13.38;-25.15
2020-10-28;D.A.0;30.41;41.97;26.65;61.59;3.76;-19.62
2020-10-31;E.B.S;28.82;70.05;13.19;41.25;15.63;28.8
2020-11-15;A.B.0;34.65;9.76;27.81;30.58;6.84;-20.82
2020-11-15;E.A.1;23.66;30.56;30.17;91.27;-6.51;-60.71
2020-11-24;E.C.1;32.73;93.02;31.11;55.37;1.62;37.65
2020-12-09;B.D.1;35.29;51.21;18.71;62.34;16.58;-11.13
2020-12-16;A.C.0;21.79;47.37;15.0;34.0;6.79;13.37
2020-12-20;B.D.3;25.53;41.66;29.23;2.22;-3.7;39.44
2020-12-25;D.C.3;25.92;50.51;36.35;87.27;-10.43;-36.76
2020-12-25;A.C.3;28.94;36.35;15.67;58.09;13.27;-21.74
2021-01-20;E.E.0;22.48;38.79;36.27;57.55;-13.79;-18.76
2021-02-04;C.D.1;34.56;13.44;17.74;6.35;16.82;7.09
2021-02-09;B.D.3;15.27;16.14;17.13;37.01;-1.86;-20.87
2021-02-11;C.D.1;31.09;51.52;18.53;25.64;12.56;25.88
2021-02-17;B.E.3;23.04;39.37;15.18;13.0;7.86;26.37
2021-02-17;E.A.2;15.94;67.2;29.96;70.23;-14.02;-3.03
2021-02-17;D.E.S;31.21;68.58;15.39;31.01;15.82;37.57
2021-02-21;E.E.2;31.41;49.84;24.86;53.46;6.55;-3.62
2021-02-28;C.E.0;18.97;90.06;27.2;60.15;-8.23;29.91
2021-03-30;A.E.3;36.43;88.0;27.89;82.75;8.54;5.25
2021-06-01;C.D.1;20.4;77.12;12.97;26.94;7.43;50.18
2021-07-26;B.B.S;20.52;80.56;16.93;73.54;3.59;7.02
2021-08-11;B.E.3;27.08;41.39;35.02;90.11;-7.94;-48.72
2021-08-17;D.D.S;29.36;86.04;27.23;35.5;2.13;50.54
2021-09-08;C.B.2;19.52;34.73;24.6;92.09;-5.08;-57.36
2021-12-28;B.D.S;14.61;86.03;16.17;75.09;-1.56;10.94
2021-12-31;B.B.0;27.16;62.16;22.06;52.87;5.1;9.29
2022-01-07;C.D.0;10.16;17.09;22.38;33.07;-12.22;-15.98
2022-01-24;D.D.0;12.14;89.36;34.92;58.41;-22.78;30.95
2022-02-08;A.D.S;31.54;78.33;18.03;37.26;13.51;41.07
2022-02-16;D.C.2;19.36;71.3;31.11;21.89;-11.75;49.41
2022-03-26;A.A.1;12.9;96.66;32.63;38.88;-19.73;57.78
2022-03-31;D.B.2;36.41;82.32;18.24;36.84;18.17;45.48
2022-05-02;B.D.0;35.64;95.74;31.7;57.84;3.94;37.9
2022-05-03;B.B.0;25.16;44.27;25.68;19.18;-0.52;25.09
2022-06-05;D.E.0;24.05;31.89;18.83;40.39;5.22;-8.5
2022-06-18;C.B.0;22.45;23.51;24.59;90.51;-2.14;-67.0
2022-06-26;E.A.3;11.37;92.6;33.42;57.26;-22.05;35.34
2022-07-02;D.D.2;11.86;48.11;16.24;76.39;-4.38;-28.28
2022-07-03;A.A.1;26.36;30.93;19.98;77.83;6.38;-46.9
2022-07-21;A.B.3;11.07;21.4;28.18;58.35;-17.11;-36.95
2022-08-23;A.B.0;29.17;30.79;25.11;63.15;4.06;-32.36
2020-10-11;A.B.0;18.2;85.77;35.37;53.33;-17.17;32.44
2020-10-20;B.C.S;14.91;81.1;36.0;68.9;-21.09;12.2
2020-11-14;C.C.1;10.62;91.65;36.4;56.17;-25.78;35.48
2020-12-28;E.B.2;34.03;57.64;23.07;3.79;10.96;53.85
2021-04-11;D.A.3;21.71;57.89;22.83;35.68;-1.12;22.21
2021-11-18;A.C.1;25.44;33.37;10.49;41.86;14.95;-8.49
2022-02-25;E.B.0;18.77;39.49;31.07;11.04;-12.3;28.45
2022-05-16;D.A.3;20.15;18.27;12.53;21.35;7.62;-3.08
2022-06-04;C.C.2;17.4;79.38;37.23;10.61;-19.83;68.77
2022-06-06;C.D.0;29.09;42.33;24.86;50.87;4.23;-8.54
2022-07-29;E.B.1;31.27;97.87;11.64;45.86;19.63;52.01
2022-08-08;B.D.S;22.17;20.86;18.51;41.0;3.66;-20.14
2022-08-23;C.C.1;15.98;26.08;14.44;58.75;1.54;-32.67
