day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-02;D.A.0;22.66;42.18;22.19;85.55;0.47;-43.37
2020-04-23;D.A.3;24.51;55.86;25.11;46.13;-0.6;9.73
2020-06-15;B.E.0;12.43;88.88;29.01;6.18;-16.58;82.7
2020-07-19;B.B.1;31.66;35.83;14.5;2.3;17.16;33.53
2020-07-24;C.A.2;28.22;2.73;23.62;59.81;4.6;-57.08
2020-08-28;D.A.0;17.93;31.07;10.95;60.6;6.98;-29.53
2020-09-12;B.B.0;10.07;97.76;13.81;1.47;-3.74;96.29
2020-09-25;D.C.0;19.24;84.68;17.36;11.29;1.88;73.39
2020-10-14;C.A.1;24.44;46.32;32.2;98.24;-7.76;-51.92
2020-10-20;E.C.0;21.29;98.63;16.51;82.43;4.78;16.2
2020-11-09;B.D.S;15.58;53.04;25.79;84.01;-10.21;-30.97
2020-11-13;A.E.2;28.96;52.0;29.82;62.17;-0.86;-10.17
2020-11-13;A.A.3;23.48;60.87;25.8;54.4;-2.32;6.47
2020-11-15;E.C.1;11.48;87.73;24.23;91.53;-12.75;-3.8
2020-11-22;A.C.3;15.92;43.16;20.73;64.18;-4.81;-21.02
2020-11-26;D.E.0;25.6;36.77;33.28;98.57;-7.68;-61.8
2020-12-10;A.E.3;33.49;69.16;10.83;28.16;22.66;41.0
2020-12-22;B.A.2;28.39;98.5;35.76;32.61;-7.37;65.89
2021-01-02;B.D.1;35.35;55.31;25.56;69.1;9.79;-13.79
2021-01-30;E.D.1;24.24;38.95;28.91;46.83;-4.67;-7.88
2021-02-02;B.E.2;22.84;73.36;32.88;83.87;-10.04;-10.51
2021-02-08;D.E.3;20.0;41.12;20.17;74.83;-0.17;-33.71
2021-02-09;A.E.0;19.75;91.01;23.24;91.22;-3.49;-0.21
2021-02-09;C.E.0;10.84;7.07;25.45;67.42;-14.61;-60.35
2021-03-02;C.C.2;17.52;36.83;32.76;7.61;-15.24;29.22
2021-03-06;B.A.2;33.96;94.34;27.65;42.99;6.31;51.35
2021-03-15;E.E.S;13.81;68.88;25.78;40.96;-11.97;27.92
2021-03-21;E.B.3;30.76;99.33;13.31;56.21;17.45;43.12
2021-04-21;E.A.S;16.53;81.13;22.46;52.51;-5.93;28.62
2021-05-02;B.B.S;19.28;76.6;23.37;87.49;-4.09;-10.89
2021-05-17;C.D.0;30.91;26.28;18.61;13.73;12.3;12.55
2021-05-22;E.B.1;11.19;9.83;12.76;96.6;-1.57;-86.77
2021-05-29;D.E.S;29.87;62.75;14.31;81.04;15.56;-18.29
2021-07-02;D.B.3;11.21;88.51;23.83;38.15;-12.62;50.36
2021-07-19;C.E.0;32.99;5.69;31.86;46.63;1.13;-40.94
2021-07-26;A.D.3;36.6;17.71;13.12;55.93;23.48;-38.22
2021-07-28;E.E.2;25.08;40.95;34.68;46.66;-9.6;-5.71
2021-08-11;A.E.3;13.55;8.47;33.17;36.6;-19.62;-28.13
2021-08-13;C.A.2;30.57;73.4;35.96;4.72;-5.39;68.68
2021-08-25;D.B.0;24.17;26.45;30.66;96.66;-6.49;-70.21
2021-09-07;B.D.S;11.05;65.64;28.69;46.56;-17.64;19.08
2021-09-12;B.D.3;25.09;17.89;15.76;28.02;9.33;-10.13
