day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-09-10;C;19.22;50.85;27.81;73.95;-8.59;-23.1
2020-11-16;B;25.2;58.25;22.66;63.28;2.54;-5.03
2021-02-23;C;20.05;56.17;22.89;61.93;-2.84;-5.76
2021-03-13;D;28.74;55.52;27.72;45.46;1.02;10.06
2021-03-27;D;22.08;50.47;23.27;45.42;-1.19;5.05
2021-05-31;C;21.33;26.47;23.5;59.55;-2.17;-33.08
2021-07-01;A;19.12;49.47;19.48;42.08;-0.36;7.39
2021-07-03;E;20.64;42.36;21.94;44.62;-1.3;-2.26
2021-09-06;C;26.87;60.96;22.18;57.25;4.69;3.71
2021-09-08;C;24.98;44.71;25.07;50.02;-0.09;-5.31
2021-10-07;C;24.51;52.11;25.78;49.37;-1.27;2.74
2022-02-06;D;23.07;32.15;22.64;37.29;0.43;-5.14
2022-04-08;C;23.54;62.09;25.33;57.81;-1.79;4.28
2022-05-31;E;20.56;60.89;24.52;41.82;-3.96;19.07
2022-06-13;E;24.0;59.6;21.38;50.3;2.62;9.3
2022-08-24;A;26.51;30.47;20.83;62.57;5.68;-32.1
