day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-13;A;24.07;44.92;24.42;54.96;-0.35;-10.04
2020-04-27;C;24.52;36.94;25.49;65.25;-0.97;-28.31
2020-04-30;B;24.73;57.99;21.65;45.79;3.08;12.2
2020-05-21;B;21.85;51.04;23.61;30.74;-1.76;20.3
2020-07-12;E;18.53;32.91;19.42;49.67;-0.89;-16.76
2020-07-25;C;26.36;45.69;24.98;45.21;1.38;0.48
2020-08-12;E;24.18;70.39;21.4;64.56;2.78;5.83
2020-09-14;A;21.41;51.96;26.45;62.57;-5.04;-10.61
2020-11-10;E;25.16;38.53;22.28;53.25;2.88;-14.72
2021-01-24;E;20.81;59.9;22.76;46.4;-1.95;13.5
2021-03-02;A;22.84;40.6;22.39;64.93;0.45;-24.33
2021-07-17;B;28.58;54.32;22.66;61.47;5.92;-7.15
2021-07-17;A;24.99;50.54;26.4;33.49;-1.41;17.05
2021-07-26;E;24.4;38.7;20.8;56.89;3.6;-18.19
2021-09-02;E;28.63;41.69;24.22;41.37;4.41;0.32
2021-09-16;D;20.95;44.77;25.05;65.29;-4.1;-20.52
2021-12-20;B;26.31;49.06;24.27;53.96;2.04;-4.9
2022-02-10;A;27.45;69.93;28.24;59.82;-0.79;10.11
2022-02-10;B;25.19;44.85;20.61;55.55;4.58;-10.7
2022-03-01;C;23.83;54.15;23.0;52.05;0.83;2.1
2022-06-16;A;26.11;49.29;24.58;49.15;1.53;0.14
2022-06-17;B;27.71;51.82;22.39;59.26;5.32;-7.44
2022-07-16;E;25.56;42.75;24.89;42.5;0.67;0.25
