day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-03;E;22.27;61.39;23.47;48.8;-1.2;12.59
2020-05-12;B;23.02;44.63;21.94;32.79;1.08;11.84
2020-05-29;A;22.84;53.84;22.94;46.77;-0.1;7.07
2020-06-14;E;30.51;65.09;21.72;51.14;8.79;13.95
2020-06-24;A;21.78;27.19;20.97;32.57;0.81;-5.38
2020-10-06;E;25.44;38.95;21.37;54.05;4.07;-15.1
2020-11-02;A;23.63;44.97;24.36;59.01;-0.73;-14.04
2020-12-22;A;22.57;50.23;26.36;41.99;-3.79;8.24
2021-01-04;B;25.79;55.36;23.28;44.14;2.51;11.22
2021-01-11;D;23.28;47.63;22.52;52.31;0.76;-4.68
2021-01-16;D;18.72;54.46;23.41;59.19;-4.69;-4.73
2021-01-18;E;26.77;43.27;26.64;55.23;0.13;-11.96
2021-02-09;E;21.92;68.12;24.56;55.61;-2.64;12.51
2021-06-23;B;19.99;58.19;21.07;42.76;-1.08;15.43
2021-07-21;C;17.43;53.2;26.48;57.7;-9.05;-4.5
2021-08-24;D;20.34;53.52;25.02;63.22;-4.68;-9.7
2021-08-26;A;22.32;54.73;25.32;56.93;-3.0;-2.2
2021-08-29;D;22.2;46.6;23.56;51.09;-1.36;-4.49
2021-09-14;A;19.77;46.49;25.2;50.42;-5.43;-3.93
2022-01-02;C;25.02;65.19;24.26;53.65;0.76;11.54
2022-01-06;E;23.22;57.13;17.61;38.43;5.61;18.7
2022-01-29;C;24.87;62.9;25.41;49.18;-0.54;13.72
2022-02-08;D;26.96;49.56;17.89;54.1;9.07;-4.54
2022-03-09;E;23.81;67.37;23.37;49.1;0.44;18.27
2022-03-20;A;24.81;58.51;24.28;58.65;0.53;-0.14
2022-03-28;D;21.07;47.26;25.75;57.65;-4.68;-10.39
2022-04-19;E;22.11;31.3;24.87;61.54;-2.76;-30.24
2022-04-27;D;22.34;52.64;21.52;55.39;0.82;-2.75
2022-05-16;A;21.19;40.41;28.42;48.69;-7.23;-8.28
2022-06-12;D;25.35;60.2;27.81;36.69;-2.46;23.51
2022-06-25;C;30.85;37.94;29.95;56.82;0.9;-18.88
2022-07-11;E;21.53;39.42;26.61;66.3;-5.08;-26.88
2022-07-26;E;22.16;47.14;23.4;45.07;-1.24;2.07
2022-08-07;E;25.11;53.12;25.04;45.65;0.07;7.47
