day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-07-16;E.D.2.B;21.38;68.35;22.45;37.55;-1.07;30.8
2020-09-07;E.C.1.C;22.63;1.41;33.22;74.61;-10.59;-73.2
2020-09-09;D.A.1.C;36.08;49.63;26.76;16.03;9.32;33.6
2020-09-10;A.D.0.A;22.55;54.19;26.11;29.97;-3.56;24.22
2020-09-12;B.A.3.E;20.49;57.41;32.68;29.68;-12.19;27.73
2020-11-05;E.B.2.E;23.91;7.97;28.44;59.15;-4.53;-51.18
2020-12-01;D.E.0.B;28.66;19.36;12.54;18.56;16.12;0.8
2020-12-02;D.D.S.A;15.13;92.28;29.72;43.41;-14.59;48.87
2021-01-18;D.B.0.E;21.7;58.02;20.11;77.87;1.59;-19.85
2021-02-17;A.E.0.A;21.37;93.24;35.63;31.94;-14.26;61.3
2021-05-27;B.D.2.A;24.62;68.23;30.26;68.82;-5.64;-0.59
2021-06-12;D.E.2.A;32.22;65.22;21.87;33.67;10.35;31.55
2021-07-25;C.B.2.B;20.43;85.85;26.85;56.73;-6.42;29.12
2021-11-16;A.B.2.D;12.13;39.63;23.85;92.69;-11.72;-53.06
2022-03-02;B.B.1.C;11.07;4.42;15.4;29.79;-4.33;-25.37
2022-06-04;D.E.2.A;32.3;46.47;12.73;2.66;19.57;43.81
2022-06-15;D.B.2.A;18.92;85.15;11.97;74.4;6.95;10.75
2022-07-09;A.B.0.B;20.94;88.68;36.29;43.63;-15.35;45.05
2022-08-28;E.A.1.C;35.93;76.98;13.12;61.84;22.81;15.14
2021-02-15;A.E.1.A;13.22;92.34;18.77;24.48;-5.55;67.86
2022-01-02;C.E.0.E;16.17;73.86;28.37;16.29;-12.2;57.57
