day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-10;E.B.0.D;12.48;52.73;33.48;16.09;-21.0;36.64
2020-05-22;C.D.0.E;19.92;33.52;21.0;65.16;-1.08;-31.64
2020-09-23;B.B.1.A;34.27;22.84;30.25;89.79;4.02;-66.95
2021-03-16;B.D.3.B;29.93;45.14;16.78;32.94;13.15;12.2
2021-04-14;A.C.S.A;33.26;3.67;31.5;52.06;1.76;-48.39
2021-04-26;A.D.3.D;10.85;52.56;16.04;48.08;-5.19;4.48
2021-07-04;A.C.2.E;18.0;51.93;16.1;55.52;1.9;-3.59
2021-09-08;C.B.0.E;31.72;61.88;32.25;98.1;-0.53;-36.22
2021-09-10;E.C.3.D;14.3;54.37;35.3;77.23;-21.0;-22.86
2021-09-17;B.C.3.C;17.84;84.98;16.89;17.73;0.95;67.25
2021-12-14;B.C.2.A;24.15;67.44;11.8;33.14;12.35;34.3
2022-02-15;A.E.2.A;34.56;42.84;35.19;92.47;-0.63;-49.63
2022-02-22;B.E.2.D;15.58;72.38;30.88;66.74;-15.3;5.64
2022-03-04;A.C.1.A;37.46;70.56;30.86;88.37;6.6;-17.81
2022-04-23;E.B.3.E;13.07;3.58;17.33;21.73;-4.26;-18.15
2022-08-07;B.B.0.D;17.55;87.11;30.55;54.1;-13.0;33.01
2021-07-15;E.A.0.D;15.35;21.19;16.12;68.78;-0.77;-47.59
