day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-28;D.B.2.A;20.73;23.68;12.7;63.91;8.03;-40.23
2020-06-16;D.B.0.A;32.63;85.39;11.93;28.31;20.7;57.08
2020-07-20;B.B.2.B;20.86;23.46;25.69;52.62;-4.83;-29.16
2020-09-09;B.E.2.C;16.19;17.61;17.31;5.13;-1.12;12.48
2020-11-22;C.B.1.B;32.92;47.39;22.67;52.42;10.25;-5.03
2020-12-01;B.A.1.A;20.35;22.02;34.42;16.78;-14.07;5.24
2020-12-24;B.D.0.A;24.19;40.81;32.46;2.46;-8.27;38.35
2021-03-31;E.D.2.E;24.42;17.25;25.46;95.65;-1.04;-78.4
2021-04-20;D.D.S.A;27.87;57.37;10.89;12.98;16.98;44.39
2021-08-26;E.D.3.E;20.37;16.22;11.62;37.58;8.75;-21.36
2021-10-03;C.C.1.D;20.17;20.53;33.22;49.49;-13.05;-28.96
2021-10-16;E.C.3.D;15.89;3.96;18.84;76.22;-2.95;-72.26
2021-11-17;B.E.3.C;29.11;59.73;37.14;78.24;-8.03;-18.51
2021-12-29;E.A.2.E;24.39;42.27;14.46;42.86;9.93;-0.59
2022-01-21;E.E.2.B;32.17;67.96;21.65;54.78;10.52;13.18
2022-02-13;B.D.0.A;31.49;60.68;21.63;50.02;9.86;10.66
2022-02-27;B.B.1.D;31.2;19.25;14.76;55.83;16.44;-36.58
2022-07-30;E.E.3.B;27.6;15.56;13.19;57.27;14.41;-41.71
2022-08-24;E.B.0.D;12.56;28.01;23.4;61.63;-10.84;-33.62
