fullBuildingLocation;dateTime;avg_temp;avg_hum
A.A;2020-04-04T07:50:00.000+02:00;19.62;1.43
A.A;2020-04-07T14:38:00.000+02:00;23.66;55.46
A.A;2020-04-08T14:28:00.000+02:00;28.12;36.91
A.A;2020-04-15T02:03:00.000+02:00;33.0;79.43
A.A;2020-04-19T17:27:00.000+02:00;18.84;64.49
A.A;2020-04-27T20:55:00.000+02:00;20.77;7.95
A.A;2020-05-10T09:35:00.000+02:00;22.85;33.65
A.A;2020-05-14T10:37:00.000+02:00;21.41;47.7
A.A;2020-05-16T13:39:00.000+02:00;22.06;37.0
A.A;2020-05-18T13:07:00.000+02:00;26.01;63.95
A.A;2020-05-23T21:44:00.000+02:00;22.88;30.36
A.A;2020-05-29T01:36:00.000+02:00;18.03;25.77
A.A;2020-06-06T09:49:00.000+02:00;29.03;41.0
A.A;2020-06-06T16:15:00.000+02:00;27.04;44.38
A.A;2020-06-21T02:07:00.000+02:00;21.31;26.75
A.A;2020-06-26T18:54:00.000+02:00;19.87;26.13
A.A;2020-07-05T07:23:00.000+02:00;23.5;36.59
A.A;2020-07-06T10:43:00.000+02:00;21.32;48.53
A.A;2020-07-11T17:24:00.000+02:00;28.53;70.85
A.A;2020-07-15T12:01:00.000+02:00;25.61;59.11
A.A;2020-07-18T10:25:00.000+02:00;28.48;51.92
A.A;2020-07-20T06:41:00.000+02:00;24.0;49.66
A.A;2020-07-21T18:46:00.000+02:00;27.6;59.73
A.A;2020-07-30T23:27:00.000+02:00;20.01;0.98
A.A;2020-08-25T09:17:00.000+02:00;20.62;15.6
A.A;2020-08-30T05:28:00.000+02:00;23.28;27.44
A.A;2020-09-19T23:51:00.000+02:00;19.71;99.68
A.A;2020-09-21T08:49:00.000+02:00;26.07;30.89
A.A;2020-09-27T02:51:00.000+02:00;24.62;68.28
A.A;2020-09-30T06:33:00.000+02:00;29.18;4.45
A.A;2020-10-17T11:19:00.000+02:00;24.07;77.57
A.A;2020-10-17T20:20:00.000+02:00;24.01;39.46
A.A;2020-10-26T22:56:00.000+01:00;22.59;76.09
A.A;2020-11-04T14:39:00.000+01:00;24.16;17.59
A.A;2020-11-04T18:00:00.000+01:00;23.48;48.36
A.A;2020-11-18T05:49:00.000+01:00;20.02;80.01
A.A;2020-11-21T09:00:00.000+01:00;32.82;0.59
A.A;2020-12-25T13:52:00.000+01:00;24.91;18.58
A.A;2020-12-27T13:12:00.000+01:00;20.26;68.63
A.A;2021-01-05T17:11:00.000+01:00;22.65;59.78
A.A;2021-01-14T13:28:00.000+01:00;24.3;70.59
A.A;2021-01-17T06:47:00.000+01:00;18.99;59.66
A.A;2021-01-18T16:58:00.000+01:00;23.33;84.64
A.A;2021-02-09T12:39:00.000+01:00;22.45;88.0
A.A;2021-02-09T23:16:00.000+01:00;21.42;65.82
A.A;2021-02-11T05:01:00.000+01:00;27.96;90.6
A.A;2021-02-14T15:29:00.000+01:00;26.63;88.9
A.A;2021-02-15T19:43:00.000+01:00;21.46;69.68
A.A;2021-03-11T09:27:00.000+01:00;20.15;50.2
A.A;2021-03-12T16:53:00.000+01:00;22.76;13.11
A.A;2021-03-19T04:54:00.000+01:00;22.93;26.18
A.A;2021-03-23T16:30:00.000+01:00;25.21;1.32
A.A;2021-03-29T06:46:00.000+02:00;23.03;67.22
A.A;2021-04-04T02:17:00.000+02:00;17.91;91.8
A.A;2021-04-15T21:12:00.000+02:00;17.54;70.01
A.A;2021-04-18T00:44:00.000+02:00;21.72;10.98
A.A;2021-04-18T13:12:00.000+02:00;26.04;42.32
A.A;2021-04-19T05:04:00.000+02:00;24.85;42.16
A.A;2021-04-21T17:32:00.000+02:00;18.55;65.2
A.A;2021-04-24T16:25:00.000+02:00;27.56;89.1
A.A;2021-04-28T09:47:00.000+02:00;20.92;83.5
A.A;2021-04-28T12:30:00.000+02:00;19.89;64.28
A.A;2021-05-03T22:04:00.000+02:00;20.24;49.78
A.A;2021-05-08T17:52:00.000+02:00;23.11;63.24
A.A;2021-05-09T09:20:00.000+02:00;22.1;48.96
A.A;2021-06-02T10:34:00.000+02:00;23.82;30.99
A.A;2021-06-09T16:08:00.000+02:00;24.81;39.62
A.A;2021-06-16T14:19:00.000+02:00;29.76;6.58
A.A;2021-06-18T14:12:00.000+02:00;23.76;28.93
