fullBuildingLocation;dateTime;avg_temp;avg_hum
A.A;2020-04-06T13:35:00.000+02:00;30.32;31.09
A.A;2020-04-29T01:54:00.000+02:00;24.34;94.92
A.A;2020-04-29T04:51:00.000+02:00;27.15;96.58
A.A;2020-05-04T14:13:00.000+02:00;24.12;60.0
A.A;2020-05-06T23:05:00.000+02:00;27.54;91.9
A.A;2020-05-12T10:32:00.000+02:00;24.47;50.8
A.A;2020-05-18T20:02:00.000+02:00;24.25;65.61
A.A;2020-05-29T05:51:00.000+02:00;17.04;30.79
A.A;2020-05-31T09:50:00.000+02:00;18.68;20.2
A.A;2020-06-06T23:29:00.000+02:00;29.86;61.6
A.A;2020-06-17T14:53:00.000+02:00;27.82;19.28
A.A;2020-06-18T21:15:00.000+02:00;21.69;63.03
A.A;2020-07-01T18:39:00.000+02:00;18.74;71.1
A.A;2020-07-04T06:55:00.000+02:00;21.65;62.85
A.A;2020-07-12T09:48:00.000+02:00;20.95;37.27
A.A;2020-07-16T11:16:00.000+02:00;25.63;18.31
A.A;2020-08-26T19:00:00.000+02:00;21.98;39.75
A.A;2020-08-26T23:23:00.000+02:00;21.73;36.88
A.A;2020-08-29T12:49:00.000+02:00;21.31;76.99
A.A;2020-09-01T05:12:00.000+02:00;22.39;64.93
A.A;2020-09-07T12:07:00.000+02:00;25.46;79.37
A.A;2020-09-08T03:09:00.000+02:00;25.74;87.5
A.A;2020-09-14T03:58:00.000+02:00;22.16;17.43
A.A;2020-09-18T01:06:00.000+02:00;18.5;43.09
A.A;2020-09-23T05:14:00.000+02:00;25.72;88.9
A.A;2020-09-25T17:01:00.000+02:00;22.2;62.19
A.A;2020-10-01T15:54:00.000+02:00;18.0;34.35
A.A;2020-10-02T18:31:00.000+02:00;19.33;49.46
A.A;2020-10-04T19:24:00.000+02:00;25.87;64.86
A.A;2020-10-15T17:25:00.000+02:00;20.7;94.19
A.A;2020-10-16T12:47:00.000+02:00;20.99;55.29
A.A;2020-10-18T20:06:00.000+02:00;20.99;1.4
A.A;2020-10-19T11:08:00.000+02:00;18.17;39.69
A.A;2020-11-07T20:35:00.000+01:00;25.53;38.37
A.A;2020-11-12T12:23:00.000+01:00;27.42;60.8
A.A;2020-11-12T14:09:00.000+01:00;26.35;32.24
A.A;2020-11-16T07:58:00.000+01:00;18.85;32.29
A.A;2020-11-19T10:39:00.000+01:00;32.39;69.68
A.A;2020-11-20T03:23:00.000+01:00;25.47;67.5
A.A;2020-11-28T23:49:00.000+01:00;27.03;37.09
