fullFloorLocation;dateTime;avg_temp;avg_hum
A.A.0;2020-04-06T13:35:00.000+02:00;28.79;31.09
A.A.0;2020-04-29T01:54:00.000+02:00;24.0;94.92
A.A.0;2020-04-29T04:51:00.000+02:00;27.71;96.58
A.A.0;2020-05-04T14:13:00.000+02:00;21.16;60.0
A.A.0;2020-05-06T23:05:00.000+02:00;24.64;91.9
A.A.0;2020-05-12T10:32:00.000+02:00;28.52;50.8
A.A.0;2020-05-18T20:02:00.000+02:00;20.34;65.61
A.A.0;2020-05-29T05:51:00.000+02:00;17.87;30.79
A.A.0;2020-05-31T09:50:00.000+02:00;13.95;20.2
A.A.0;2020-06-06T23:29:00.000+02:00;30.4;61.6
A.A.0;2020-06-17T14:53:00.000+02:00;33.59;19.28
A.A.0;2020-06-18T21:15:00.000+02:00;11.75;63.03
A.A.0;2020-07-01T18:39:00.000+02:00;17.81;71.1
A.A.0;2020-07-04T06:55:00.000+02:00;17.19;62.85
A.A.0;2020-07-12T09:48:00.000+02:00;23.01;37.27
A.A.0;2020-07-16T11:16:00.000+02:00;24.98;18.31
A.A.0;2020-08-26T19:00:00.000+02:00;21.65;39.75
A.A.0;2020-08-26T23:23:00.000+02:00;21.31;36.88
A.A.0;2020-08-29T12:49:00.000+02:00;20.23;76.99
A.A.0;2020-09-01T05:12:00.000+02:00;15.65;64.93
A.A.0;2020-09-07T12:07:00.000+02:00;21.1;79.37
A.A.0;2020-09-08T03:09:00.000+02:00;18.92;87.5
A.A.0;2020-09-14T03:58:00.000+02:00;15.04;17.43
A.A.0;2020-09-18T01:06:00.000+02:00;21.78;43.09
A.A.0;2020-09-23T05:14:00.000+02:00;30.74;88.9
A.A.0;2020-09-25T17:01:00.000+02:00;25.27;62.19
A.A.0;2020-10-01T15:54:00.000+02:00;19.32;34.35
A.A.0;2020-10-02T18:31:00.000+02:00;16.99;49.46
A.A.0;2020-10-04T19:24:00.000+02:00;32.73;64.86
A.A.0;2020-10-15T17:25:00.000+02:00;17.22;94.19
A.A.0;2020-10-16T12:47:00.000+02:00;20.74;55.29
A.A.0;2020-10-18T20:06:00.000+02:00;19.77;1.4
A.A.0;2020-10-19T11:08:00.000+02:00;11.86;39.69
A.A.0;2020-11-07T20:35:00.000+01:00;24.74;38.37
A.A.0;2020-11-12T12:23:00.000+01:00;28.4;60.8
A.A.0;2020-11-12T14:09:00.000+01:00;20.99;32.24
A.A.0;2020-11-16T07:58:00.000+01:00;22.94;32.29
A.A.0;2020-11-19T10:39:00.000+01:00;31.41;69.68
A.A.0;2020-11-20T03:23:00.000+01:00;32.65;67.5
A.A.0;2020-11-28T23:49:00.000+01:00;31.57;37.09
A.A.0;2020-12-05T13:00:00.000+01:00;11.72;81.05
A.A.0;2020-12-06T04:20:00.000+01:00;16.64;83.73
A.A.0;2020-12-06T08:52:00.000+01:00;19.28;58.54
A.A.0;2020-12-17T06:15:00.000+01:00;18.01;85.76
A.A.0;2020-12-25T11:00:00.000+01:00;20.24;20.83
A.A.0;2020-12-26T15:09:00.000+01:00;32.55;94.22
A.A.0;2020-12-29T00:30:00.000+01:00;31.33;1.86
A.A.0;2020-12-29T00:44:00.000+01:00;29.31;16.74
A.A.0;2021-01-07T06:07:00.000+01:00;25.79;42.45
A.A.0;2021-01-10T01:48:00.000+01:00;17.41;57.28
A.A.0;2021-01-10T20:36:00.000+01:00;21.27;67.4
A.A.0;2021-01-15T06:45:00.000+01:00;27.71;73.15
A.A.0;2021-01-19T14:57:00.000+01:00;20.45;17.57
A.A.0;2021-01-23T00:14:00.000+01:00;18.77;26.48
A.A.0;2021-01-24T14:02:00.000+01:00;29.38;36.84
A.A.0;2021-02-05T11:24:00.000+01:00;20.53;71.78
A.A.0;2021-02-08T17:40:00.000+01:00;22.25;43.02
A.A.0;2021-02-15T07:37:00.000+01:00;21.99;41.47
A.A.0;2021-02-15T08:17:00.000+01:00;20.68;43.82
A.A.0;2021-02-16T05:28:00.000+01:00;23.5;56.69
A.A.0;2021-02-20T04:03:00.000+01:00;36.17;51.2
A.A.0;2021-02-21T11:17:00.000+01:00;24.7;55.4
A.A.0;2021-02-23T21:05:00.000+01:00;17.01;85.27
A.A.0;2021-02-24T17:11:00.000+01:00;24.72;54.45
A.A.0;2021-02-27T19:51:00.000+01:00;26.71;97.06
A.A.0;2021-03-06T20:55:00.000+01:00;28.16;59.48
A.A.0;2021-03-07T08:51:00.000+01:00;28.22;35.24
A.A.0;2021-03-11T06:48:00.000+01:00;12.74;89.7
A.A.0;2021-03-27T01:03:00.000+01:00;20.9;65.26
A.A.0;2021-03-28T18:10:00.000+02:00;36.61;68.91
A.A.0;2021-04-06T07:20:00.000+02:00;16.91;88.72
A.A.0;2021-04-17T19:48:00.000+02:00;30.1;34.35
A.A.0;2021-04-30T16:42:00.000+02:00;22.07;88.9
A.A.0;2021-05-12T16:36:00.000+02:00;24.98;16.11
A.A.0;2021-05-27T11:05:00.000+02:00;17.48;50.13
A.A.0;2021-05-30T20:26:00.000+02:00;15.26;23.59
A.A.0;2021-06-01T16:11:00.000+02:00;31.35;72.79
A.A.0;2021-06-07T15:03:00.000+02:00;29.14;7.02
A.A.0;2021-06-10T14:29:00.000+02:00;26.55;5.68
A.A.0;2021-06-15T03:21:00.000+02:00;28.67;46.61
A.A.0;2021-06-19T10:20:00.000+02:00;20.95;75.59
A.A.0;2021-06-25T10:36:00.000+02:00;18.57;66.18
A.A.0;2021-06-29T14:28:00.000+02:00;11.82;15.13
A.A.0;2021-06-30T07:45:00.000+02:00;18.27;38.19
A.A.0;2021-06-30T22:32:00.000+02:00;28.98;36.67
A.A.0;2021-07-20T04:27:00.000+02:00;13.03;11.51
A.A.0;2021-07-24T15:21:00.000+02:00;11.7;44.44
A.A.0;2021-07-25T10:31:00.000+02:00;17.29;57.62
A.A.0;2021-07-28T05:42:00.000+02:00;13.65;78.71
A.A.0;2021-08-03T05:38:00.000+02:00;25.33;30.46
A.A.0;2021-08-12T06:02:00.000+02:00;29.9;42.26
A.A.0;2021-08-12T17:21:00.000+02:00;32.09;31.51
A.A.0;2021-08-15T14:17:00.000+02:00;33.61;20.62
