neighborhood;dateTime;avg_temp;avg_hum
A;2020-04-04T07:50:00.000+02:00;19.98;1.43
A;2020-04-07T14:38:00.000+02:00;24.8;55.46
A;2020-04-08T14:28:00.000+02:00;25.88;36.91
A;2020-04-15T02:03:00.000+02:00;24.24;79.43
A;2020-04-19T17:27:00.000+02:00;25.56;64.49
A;2020-04-27T20:55:00.000+02:00;23.4;7.95
A;2020-05-10T09:35:00.000+02:00;25.96;33.65
A;2020-05-14T10:37:00.000+02:00;25.01;47.7
A;2020-05-16T13:39:00.000+02:00;24.28;37.0
A;2020-05-18T13:07:00.000+02:00;22.8;63.95
A;2020-05-23T21:44:00.000+02:00;22.94;30.36
A;2020-05-29T01:36:00.000+02:00;23.25;25.77
A;2020-06-06T09:49:00.000+02:00;23.96;41.0
A;2020-06-06T16:15:00.000+02:00;25.0;44.38
A;2020-06-21T02:07:00.000+02:00;25.03;26.75
A;2020-06-26T18:54:00.000+02:00;22.8;26.13
A;2020-07-05T07:23:00.000+02:00;23.59;36.59
A;2020-07-06T10:43:00.000+02:00;24.89;48.53
A;2020-07-11T17:24:00.000+02:00;27.01;70.85
A;2020-07-15T12:01:00.000+02:00;22.66;59.11
A;2020-07-18T10:25:00.000+02:00;25.44;51.92
A;2020-07-20T06:41:00.000+02:00;22.42;49.66
A;2020-07-21T18:46:00.000+02:00;23.96;59.73
A;2020-07-30T23:27:00.000+02:00;23.45;0.98
A;2020-08-25T09:17:00.000+02:00;24.25;15.6
A;2020-08-30T05:28:00.000+02:00;24.66;27.44
A;2020-09-19T23:51:00.000+02:00;25.74;99.68
A;2020-09-21T08:49:00.000+02:00;26.0;30.89
A;2020-09-27T02:51:00.000+02:00;21.69;68.28
A;2020-09-30T06:33:00.000+02:00;23.33;4.45
A;2020-10-17T11:19:00.000+02:00;23.95;77.57
A;2020-10-17T20:20:00.000+02:00;25.27;39.46
A;2020-10-26T22:56:00.000+01:00;23.15;76.09
A;2020-11-04T14:39:00.000+01:00;24.36;17.59
A;2020-11-04T18:00:00.000+01:00;24.08;48.36
A;2020-11-18T05:49:00.000+01:00;21.01;80.01
A;2020-11-21T09:00:00.000+01:00;23.88;0.59
A;2020-12-25T13:52:00.000+01:00;23.68;18.58
A;2020-12-27T13:12:00.000+01:00;24.45;68.63
A;2021-01-05T17:11:00.000+01:00;25.15;59.78
A;2021-01-14T13:28:00.000+01:00;22.87;70.59
A;2021-01-17T06:47:00.000+01:00;22.96;59.66
A;2021-01-18T16:58:00.000+01:00;23.33;84.64
A;2021-02-09T12:39:00.000+01:00;24.11;88.0
A;2021-02-09T23:16:00.000+01:00;22.57;65.82
A;2021-02-11T05:01:00.000+01:00;24.85;90.6
A;2021-02-14T15:29:00.000+01:00;25.2;88.9
A;2021-02-15T19:43:00.000+01:00;23.3;69.68
A;2021-03-11T09:27:00.000+01:00;20.48;50.2
A;2021-03-12T16:53:00.000+01:00;24.97;13.11
A;2021-03-19T04:54:00.000+01:00;23.73;26.18
A;2021-03-23T16:30:00.000+01:00;26.03;1.32
A;2021-03-29T06:46:00.000+02:00;23.54;67.22
A;2021-04-04T02:17:00.000+02:00;19.38;91.8
A;2021-04-15T21:12:00.000+02:00;20.1;70.01
A;2021-04-18T00:44:00.000+02:00;24.21;10.98
A;2021-04-18T13:12:00.000+02:00;23.12;42.32
A;2021-04-19T05:04:00.000+02:00;20.76;42.16
A;2021-04-21T17:32:00.000+02:00;21.42;65.2
A;2021-04-24T16:25:00.000+02:00;24.79;89.1
A;2021-04-28T09:47:00.000+02:00;24.78;83.5
A;2021-04-28T12:30:00.000+02:00;24.4;64.28
A;2021-05-03T22:04:00.000+02:00;23.63;49.78
A;2021-05-08T17:52:00.000+02:00;26.67;63.24
A;2021-05-09T09:20:00.000+02:00;23.0;48.96
A;2021-06-02T10:34:00.000+02:00;24.36;30.99
A;2021-06-09T16:08:00.000+02:00;21.03;39.62
A;2021-06-16T14:19:00.000+02:00;26.66;6.58
A;2021-06-18T14:12:00.000+02:00;23.31;28.93
A;2021-06-21T16:10:00.000+02:00;21.19;8.83
A;2021-06-22T12:38:00.000+02:00;24.69;13.24
A;2021-06-27T15:14:00.000+02:00;20.39;90.2
A;2021-07-06T09:55:00.000+02:00;22.49;7.22
A;2021-07-13T17:25:00.000+02:00;25.9;78.32
A;2021-07-22T14:43:00.000+02:00;22.17;60.31
A;2021-08-01T06:22:00.000+02:00;25.06;65.58
A;2021-08-01T14:11:00.000+02:00;24.87;59.28
A;2021-08-02T22:06:00.000+02:00;24.35;42.17
A;2021-08-07T14:41:00.000+02:00;21.38;48.93
A;2021-08-22T13:11:00.000+02:00;25.98;68.74
A;2021-08-27T16:06:00.000+02:00;20.64;83.78
A;2021-08-28T04:49:00.000+02:00;21.44;47.12
A;2021-09-07T10:47:00.000+02:00;24.45;88.41
A;2021-09-09T17:03:00.000+02:00;24.45;25.67
A;2021-09-12T02:15:00.000+02:00;22.49;72.27
A;2021-09-21T14:55:00.000+02:00;25.82;59.2
A;2021-09-23T01:16:00.000+02:00;24.74;44.45
A;2021-09-29T10:35:00.000+02:00;21.28;37.92
A;2021-10-04T14:48:00.000+02:00;24.69;50.48
A;2021-10-08T00:48:00.000+02:00;24.95;66.21
A;2021-10-11T18:39:00.000+02:00;23.42;90.89
A;2021-10-22T02:24:00.000+02:00;22.6;19.09
A;2021-10-25T05:35:00.000+02:00;24.59;18.02
A;2021-10-27T11:28:00.000+02:00;24.9;21.98
A;2021-10-30T00:18:00.000+02:00;24.58;86.29
A;2021-10-31T13:18:00.000+01:00;22.95;2.94
A;2021-11-06T06:29:00.000+01:00;23.81;24.41
A;2021-11-06T15:00:00.000+01:00;24.95;32.86
A;2021-11-11T19:07:00.000+01:00;25.79;37.37
A;2021-11-13T18:07:00.000+01:00;25.67;46.71
A;2021-12-03T18:12:00.000+01:00;22.89;95.58
A;2021-12-05T03:06:00.000+01:00;26.48;68.66
A;2021-12-22T17:50:00.000+01:00;23.61;79.91
A;2021-12-23T20:17:00.000+01:00;24.19;7.7
A;2021-12-25T16:44:00.000+01:00;23.83;90.6
A;2021-12-28T14:43:00.000+01:00;23.35;92.78
A;2021-12-31T09:19:00.000+01:00;23.98;16.21
A;2022-01-05T15:43:00.000+01:00;27.02;27.98
A;2022-01-07T18:40:00.000+01:00;25.3;1.85
A;2022-01-09T12:51:00.000+01:00;26.06;69.48
A;2022-01-13T21:34:00.000+01:00;20.94;44.33
A;2022-01-28T18:28:00.000+01:00;24.69;6.85
A;2022-01-29T15:37:00.000+01:00;26.32;12.68
A;2022-01-31T00:04:00.000+01:00;27.71;54.11
A;2022-02-01T21:02:00.000+01:00;20.99;98.64
A;2022-02-02T18:29:00.000+01:00;22.47;74.14
A;2022-02-04T05:31:00.000+01:00;25.45;66.37
