neighborhood;dateTime;avg_temp;avg_hum
A;2020-04-06T13:35:00.000+02:00;26.45;31.09
A;2020-04-29T01:54:00.000+02:00;25.58;94.92
A;2020-04-29T04:51:00.000+02:00;26.26;96.58
A;2020-05-04T14:13:00.000+02:00;26.28;60.0
A;2020-05-06T23:05:00.000+02:00;23.72;91.9
A;2020-05-12T10:32:00.000+02:00;26.18;50.8
A;2020-05-18T20:02:00.000+02:00;22.25;65.61
A;2020-05-29T05:51:00.000+02:00;22.95;30.79
A;2020-05-31T09:50:00.000+02:00;21.68;20.2
A;2020-06-06T23:29:00.000+02:00;28.29;61.6
A;2020-06-17T14:53:00.000+02:00;23.68;19.28
A;2020-06-18T21:15:00.000+02:00;24.06;63.03
A;2020-07-01T18:39:00.000+02:00;23.34;71.1
A;2020-07-04T06:55:00.000+02:00;23.0;62.85
A;2020-07-12T09:48:00.000+02:00;25.7;37.27
A;2020-07-16T11:16:00.000+02:00;22.93;18.31
A;2020-08-26T19:00:00.000+02:00;23.81;39.75
A;2020-08-26T23:23:00.000+02:00;23.76;36.88
A;2020-08-29T12:49:00.000+02:00;23.24;76.99
A;2020-09-01T05:12:00.000+02:00;24.3;64.93
A;2020-09-07T12:07:00.000+02:00;22.15;79.37
A;2020-09-08T03:09:00.000+02:00;23.45;87.5
A;2020-09-14T03:58:00.000+02:00;23.35;17.43
A;2020-09-18T01:06:00.000+02:00;25.67;43.09
A;2020-09-23T05:14:00.000+02:00;22.59;88.9
A;2020-09-25T17:01:00.000+02:00;23.62;62.19
A;2020-10-01T15:54:00.000+02:00;20.69;34.35
A;2020-10-02T18:31:00.000+02:00;22.87;49.46
A;2020-10-04T19:24:00.000+02:00;25.74;64.86
A;2020-10-15T17:25:00.000+02:00;25.65;94.19
A;2020-10-16T12:47:00.000+02:00;22.43;55.29
A;2020-10-18T20:06:00.000+02:00;23.44;1.4
A;2020-10-19T11:08:00.000+02:00;22.08;39.69
A;2020-11-07T20:35:00.000+01:00;25.06;38.37
A;2020-11-12T12:23:00.000+01:00;25.54;60.8
A;2020-11-12T14:09:00.000+01:00;24.94;32.24
A;2020-11-16T07:58:00.000+01:00;20.91;32.29
A;2020-11-19T10:39:00.000+01:00;24.2;69.68
A;2020-11-20T03:23:00.000+01:00;25.87;67.5
A;2020-11-28T23:49:00.000+01:00;24.76;37.09
A;2020-12-05T13:00:00.000+01:00;21.38;81.05
A;2020-12-06T04:20:00.000+01:00;25.49;83.73
A;2020-12-06T08:52:00.000+01:00;24.37;58.54
A;2020-12-17T06:15:00.000+01:00;21.45;85.76
A;2020-12-25T11:00:00.000+01:00;23.64;20.83
A;2020-12-26T15:09:00.000+01:00;23.77;94.22
A;2020-12-29T00:30:00.000+01:00;25.32;1.86
A;2020-12-29T00:44:00.000+01:00;25.25;16.74
A;2021-01-07T06:07:00.000+01:00;24.48;42.45
A;2021-01-10T01:48:00.000+01:00;25.25;57.28
A;2021-01-10T20:36:00.000+01:00;21.73;67.4
A;2021-01-15T06:45:00.000+01:00;21.33;73.15
A;2021-01-19T14:57:00.000+01:00;23.0;17.57
A;2021-01-23T00:14:00.000+01:00;23.89;26.48
A;2021-01-24T14:02:00.000+01:00;24.55;36.84
A;2021-02-05T11:24:00.000+01:00;22.5;71.78
A;2021-02-08T17:40:00.000+01:00;22.81;43.02
A;2021-02-15T07:37:00.000+01:00;23.88;41.47
A;2021-02-15T08:17:00.000+01:00;22.94;43.82
A;2021-02-16T05:28:00.000+01:00;24.59;56.69
A;2021-02-20T04:03:00.000+01:00;23.48;51.2
A;2021-02-21T11:17:00.000+01:00;22.04;55.4
A;2021-02-23T21:05:00.000+01:00;23.35;85.27
A;2021-02-24T17:11:00.000+01:00;24.73;54.45
A;2021-02-27T19:51:00.000+01:00;23.26;97.06
A;2021-03-06T20:55:00.000+01:00;24.28;59.48
A;2021-03-07T08:51:00.000+01:00;24.84;35.24
A;2021-03-11T06:48:00.000+01:00;21.07;89.7
A;2021-03-27T01:03:00.000+01:00;25.06;65.26
A;2021-03-28T18:10:00.000+02:00;22.58;68.91
A;2021-04-06T07:20:00.000+02:00;25.46;88.72
A;2021-04-17T19:48:00.000+02:00;25.93;34.35
A;2021-04-30T16:42:00.000+02:00;25.85;88.9
A;2021-05-12T16:36:00.000+02:00;26.14;16.11
A;2021-05-27T11:05:00.000+02:00;22.84;50.13
A;2021-05-30T20:26:00.000+02:00;23.53;23.59
A;2021-06-01T16:11:00.000+02:00;23.78;72.79
A;2021-06-07T15:03:00.000+02:00;24.71;7.02
A;2021-06-10T14:29:00.000+02:00;25.26;5.68
A;2021-06-15T03:21:00.000+02:00;24.48;46.61
A;2021-06-19T10:20:00.000+02:00;23.54;75.59
A;2021-06-25T10:36:00.000+02:00;23.13;66.18
A;2021-06-29T14:28:00.000+02:00;23.25;15.13
A;2021-06-30T07:45:00.000+02:00;24.24;38.19
A;2021-06-30T22:32:00.000+02:00;24.94;36.67
A;2021-07-20T04:27:00.000+02:00;23.89;11.51
A;2021-07-24T15:21:00.000+02:00;24.68;44.44
A;2021-07-25T10:31:00.000+02:00;22.16;57.62
A;2021-07-28T05:42:00.000+02:00;22.71;78.71
A;2021-08-03T05:38:00.000+02:00;24.32;30.46
A;2021-08-12T06:02:00.000+02:00;23.07;42.26
A;2021-08-12T17:21:00.000+02:00;23.29;31.51
A;2021-08-15T14:17:00.000+02:00;22.78;20.62
A;2021-08-20T01:59:00.000+02:00;21.57;21.1
A;2021-08-21T05:26:00.000+02:00;23.1;27.46
A;2021-08-30T13:14:00.000+02:00;25.66;70.55
A;2021-09-07T01:14:00.000+02:00;23.39;23.48
A;2021-09-07T19:42:00.000+02:00;25.67;51.59
A;2021-09-09T16:30:00.000+02:00;24.11;8.25
A;2021-09-10T01:07:00.000+02:00;24.82;25.91
A;2021-09-15T14:29:00.000+02:00;21.54;34.95
A;2021-09-16T08:02:00.000+02:00;22.89;20.33
A;2021-09-22T10:00:00.000+02:00;25.5;95.54
A;2021-09-22T18:42:00.000+02:00;23.7;55.82
A;2021-09-25T23:58:00.000+02:00;22.44;92.11
A;2021-10-12T21:49:00.000+02:00;22.63;38.95
A;2021-10-17T20:01:00.000+02:00;24.93;86.57
