fullRoomLocation;dateTime;avg_temp;avg_hum
A.A.0.B;2020-04-06T13:35:00.000+02:00;28.79;31.09
A.A.0.B;2020-04-29T01:54:00.000+02:00;36.84;94.92
A.A.0.B;2020-04-29T04:51:00.000+02:00;33.57;96.58
A.A.0.B;2020-05-04T14:13:00.000+02:00;21.16;60.0
A.A.0.B;2020-05-06T23:05:00.000+02:00;24.64;91.9
A.A.0.B;2020-05-12T10:32:00.000+02:00;28.44;50.8
A.A.0.B;2020-05-18T20:02:00.000+02:00;17.89;65.61
A.A.0.B;2020-05-29T05:51:00.000+02:00;13.46;30.79
A.A.0.B;2020-05-31T09:50:00.000+02:00;10.25;20.2
A.A.0.B;2020-06-06T23:29:00.000+02:00;36.19;61.6
A.A.0.B;2020-06-17T14:53:00.000+02:00;33.59;19.28
A.A.0.B;2020-06-18T21:15:00.000+02:00;11.75;63.03
A.A.0.B;2020-07-01T18:39:00.000+02:00;17.81;71.1
A.A.0.B;2020-07-04T06:55:00.000+02:00;21.76;62.85
A.A.0.B;2020-07-12T09:48:00.000+02:00;18.55;37.27
A.A.0.B;2020-07-16T11:16:00.000+02:00;27.82;18.31
A.A.0.B;2020-08-26T19:00:00.000+02:00;29.91;39.75
A.A.0.B;2020-08-26T23:23:00.000+02:00;25.09;36.88
A.A.0.B;2020-08-29T12:49:00.000+02:00;13.97;76.99
A.A.0.B;2020-09-01T05:12:00.000+02:00;16.01;64.93
A.A.0.B;2020-09-07T12:07:00.000+02:00;21.1;79.37
A.A.0.B;2020-09-08T03:09:00.000+02:00;20.91;87.5
A.A.0.B;2020-09-14T03:58:00.000+02:00;15.04;17.43
A.A.0.B;2020-09-18T01:06:00.000+02:00;21.78;43.09
A.A.0.B;2020-09-23T05:14:00.000+02:00;37.15;88.9
A.A.0.B;2020-09-25T17:01:00.000+02:00;13.22;62.19
A.A.0.B;2020-10-01T15:54:00.000+02:00;35.43;34.35
A.A.0.B;2020-10-02T18:31:00.000+02:00;16.99;49.46
A.A.0.B;2020-10-04T19:24:00.000+02:00;33.89;64.86
A.A.0.B;2020-10-15T17:25:00.000+02:00;21.5;94.19
A.A.0.B;2020-10-16T12:47:00.000+02:00;19.38;55.29
A.A.0.B;2020-10-18T20:06:00.000+02:00;10.89;1.4
A.A.0.B;2020-10-19T11:08:00.000+02:00;11.86;39.69
A.A.0.B;2020-11-07T20:35:00.000+01:00;37.08;38.37
A.A.0.B;2020-11-12T12:23:00.000+01:00;24.75;60.8
A.A.0.B;2020-11-12T14:09:00.000+01:00;20.99;32.24
A.A.0.B;2020-11-16T07:58:00.000+01:00;31.23;32.29
A.A.0.B;2020-11-19T10:39:00.000+01:00;29.36;69.68
A.A.0.B;2020-11-20T03:23:00.000+01:00;32.26;67.5
A.A.0.B;2020-11-28T23:49:00.000+01:00;27.73;37.09
A.A.0.B;2020-12-05T13:00:00.000+01:00;12.77;81.05
A.A.0.B;2020-12-06T04:20:00.000+01:00;19.63;83.73
A.A.0.B;2020-12-06T08:52:00.000+01:00;19.28;58.54
A.A.0.B;2020-12-17T06:15:00.000+01:00;11.12;85.76
A.A.0.B;2020-12-25T11:00:00.000+01:00;21.26;20.83
A.A.0.B;2020-12-26T15:09:00.000+01:00;32.55;94.22
A.A.0.B;2020-12-29T00:30:00.000+01:00;31.42;1.86
A.A.0.B;2020-12-29T00:44:00.000+01:00;27.34;16.74
A.A.0.B;2021-01-07T06:07:00.000+01:00;16.99;42.45
A.A.0.B;2021-01-10T01:48:00.000+01:00;17.41;57.28
A.A.0.B;2021-01-10T20:36:00.000+01:00;21.27;67.4
A.A.0.B;2021-01-15T06:45:00.000+01:00;28.4;73.15
A.A.0.B;2021-01-19T14:57:00.000+01:00;10.37;17.57
A.A.0.B;2021-01-23T00:14:00.000+01:00;15.07;26.48
A.A.0.B;2021-01-24T14:02:00.000+01:00;29.38;36.84
A.A.0.B;2021-02-05T11:24:00.000+01:00;15.16;71.78
A.A.0.B;2021-02-08T17:40:00.000+01:00;22.25;43.02
A.A.0.B;2021-02-15T07:37:00.000+01:00;29.33;41.47
A.A.0.B;2021-02-15T08:17:00.000+01:00;21.07;43.82
A.A.0.B;2021-02-16T05:28:00.000+01:00;22.09;56.69
A.A.0.B;2021-02-20T04:03:00.000+01:00;36.17;51.2
A.A.0.B;2021-02-21T11:17:00.000+01:00;16.74;55.4
A.A.0.B;2021-02-23T21:05:00.000+01:00;17.01;85.27
A.A.0.B;2021-02-24T17:11:00.000+01:00;24.72;54.45
A.A.0.B;2021-02-27T19:51:00.000+01:00;18.17;97.06
A.A.0.B;2021-03-06T20:55:00.000+01:00;28.16;59.48
A.A.0.B;2021-03-07T08:51:00.000+01:00;28.22;35.24
A.A.0.B;2021-03-11T06:48:00.000+01:00;12.74;89.7
A.A.0.B;2021-03-27T01:03:00.000+01:00;20.9;65.26
A.A.0.B;2021-03-28T18:10:00.000+02:00;36.61;68.91
A.A.0.B;2021-04-06T07:20:00.000+02:00;20.14;88.72
A.A.0.B;2021-04-17T19:48:00.000+02:00;30.1;34.35
A.A.0.B;2021-04-30T16:42:00.000+02:00;22.07;88.9
A.A.0.B;2021-05-12T16:36:00.000+02:00;14.99;16.11
A.A.0.B;2021-05-27T11:05:00.000+02:00;14.92;50.13
A.A.0.B;2021-05-30T20:26:00.000+02:00;15.55;23.59
A.A.0.B;2021-06-01T16:11:00.000+02:00;29.29;72.79
A.A.0.B;2021-06-07T15:03:00.000+02:00;29.14;7.02
A.A.0.B;2021-06-10T14:29:00.000+02:00;22.91;5.68
A.A.0.B;2021-06-15T03:21:00.000+02:00;28.67;46.61
A.A.0.B;2021-06-19T10:20:00.000+02:00;33.56;75.59
A.A.0.B;2021-06-25T10:36:00.000+02:00;14.87;66.18
A.A.0.B;2021-06-29T14:28:00.000+02:00;11.82;15.13
A.A.0.B;2021-06-30T07:45:00.000+02:00;19.01;38.19
A.A.0.B;2021-06-30T22:32:00.000+02:00;28.98;36.67
A.A.0.B;2021-07-20T04:27:00.000+02:00;13.03;11.51
A.A.0.B;2021-07-24T15:21:00.000+02:00;11.7;44.44
A.A.0.B;2021-07-25T10:31:00.000+02:00;18.19;57.62
A.A.0.B;2021-07-28T05:42:00.000+02:00;13.65;78.71
A.A.0.B;2021-08-03T05:38:00.000+02:00;17.48;30.46
A.A.0.B;2021-08-12T06:02:00.000+02:00;29.9;42.26
A.A.0.B;2021-08-12T17:21:00.000+02:00;32.09;31.51
A.A.0.B;2021-08-15T14:17:00.000+02:00;33.61;20.62
A.A.0.B;2021-08-20T01:59:00.000+02:00;10.03;21.1
A.A.0.B;2021-08-21T05:26:00.000+02:00;37.04;27.46
A.A.0.B;2021-08-30T13:14:00.000+02:00;26.36;70.55
A.A.0.B;2021-09-07T01:14:00.000+02:00;24.84;23.48
A.A.0.B;2021-09-07T19:42:00.000+02:00;28.56;51.59
A.A.0.B;2021-09-09T16:30:00.000+02:00;30.77;8.25
A.A.0.B;2021-09-10T01:07:00.000+02:00;28.65;25.91
A.A.0.B;2021-09-15T14:29:00.000+02:00;18.14;34.95
A.A.0.B;2021-09-16T08:02:00.000+02:00;21.35;20.33
A.A.0.B;2021-09-22T10:00:00.000+02:00;29.62;95.54
A.A.0.B;2021-09-22T18:42:00.000+02:00;21.0;55.82
A.A.0.B;2021-09-25T23:58:00.000+02:00;19.29;92.11
A.A.0.B;2021-10-12T21:49:00.000+02:00;15.88;38.95
A.A.0.B;2021-10-17T20:01:00.000+02:00;11.75;86.57
A.A.0.B;2021-10-18T19:36:00.000+02:00;11.43;68.47
A.A.0.B;2021-10-21T07:20:00.000+02:00;20.43;34.62
A.A.0.B;2021-10-25T02:19:00.000+02:00;30.94;30.36
A.A.0.B;2021-10-25T15:34:00.000+02:00;27.62;35.5
A.A.0.B;2021-10-29T19:28:00.000+02:00;24.6;29.24
A.A.0.B;2021-10-31T08:44:00.000+01:00;33.47;67.22
A.A.0.B;2021-11-02T15:45:00.000+01:00;11.6;18.55
A.A.0.B;2021-11-07T15:00:00.000+01:00;15.36;1.22
A.A.0.B;2021-11-15T16:42:00.000+01:00;36.53;32.58
A.A.0.B;2021-11-25T05:14:00.000+01:00;18.41;28.87
A.A.0.B;2021-11-30T16:27:00.000+01:00;27.22;53.88
A.A.0.B;2021-12-05T02:04:00.000+01:00;36.78;74.37
A.A.0.B;2021-12-09T12:06:00.000+01:00;29.97;57.79
A.A.0.B;2021-12-13T15:32:00.000+01:00;35.8;55.03
A.A.0.B;2021-12-19T23:13:00.000+01:00;25.41;84.2
A.A.0.B;2021-12-21T00:53:00.000+01:00;15.19;7.55
A.A.0.B;2021-12-25T00:09:00.000+01:00;12.92;51.71
A.A.0.B;2022-01-05T16:34:00.000+01:00;30.79;50.4
A.A.0.B;2022-01-07T19:45:00.000+01:00;10.65;7.94
