fullFloorLocation;dateTime;avg_temp;avg_hum
A.A.0;2020-04-04T07:50:00.000+02:00;12.97;1.43
A.A.0;2020-04-07T14:38:00.000+02:00;25.76;55.46
A.A.0;2020-04-08T14:28:00.000+02:00;28.77;18.36
A.A.0;2020-04-15T02:03:00.000+02:00;29.3;79.43
A.A.0;2020-04-19T17:27:00.000+02:00;21.39;64.49
A.A.0;2020-04-27T20:55:00.000+02:00;21.52;7.95
A.A.0;2020-05-10T09:35:00.000+02:00;18.05;33.65
A.A.0;2020-05-14T10:37:00.000+02:00;15.84;47.7
A.A.0;2020-05-16T13:39:00.000+02:00;12.74;37.0
A.A.0;2020-05-18T13:07:00.000+02:00;22.79;63.95
A.A.0;2020-05-23T21:44:00.000+02:00;32.4;30.36
A.A.0;2020-05-29T01:36:00.000+02:00;23.8;25.77
A.A.0;2020-06-06T09:49:00.000+02:00;37.47;41.0
A.A.0;2020-06-06T16:15:00.000+02:00;12.58;47.76
A.A.0;2020-06-21T02:07:00.000+02:00;27.96;26.75
A.A.0;2020-06-26T18:54:00.000+02:00;21.19;26.13
A.A.0;2020-07-05T07:23:00.000+02:00;29.25;36.59
A.A.0;2020-07-06T10:43:00.000+02:00;34.46;48.53
A.A.0;2020-07-11T17:24:00.000+02:00;30.59;70.85
A.A.0;2020-07-15T12:01:00.000+02:00;22.15;59.11
A.A.0;2020-07-18T10:25:00.000+02:00;35.62;51.92
A.A.0;2020-07-20T06:41:00.000+02:00;19.13;49.66
A.A.0;2020-07-21T18:46:00.000+02:00;19.75;59.73
A.A.0;2020-07-30T23:27:00.000+02:00;15.61;0.98
A.A.0;2020-08-25T09:17:00.000+02:00;36.26;15.6
A.A.0;2020-08-30T05:28:00.000+02:00;28.88;27.44
A.A.0;2020-09-19T23:51:00.000+02:00;19.71;99.68
A.A.0;2020-09-21T08:49:00.000+02:00;34.98;30.89
A.A.0;2020-09-27T02:51:00.000+02:00;16.62;68.28
A.A.0;2020-09-30T06:33:00.000+02:00;29.73;4.45
A.A.0;2020-10-17T11:19:00.000+02:00;33.15;77.57
A.A.0;2020-10-17T20:20:00.000+02:00;23.76;1.35
A.A.0;2020-10-26T22:56:00.000+01:00;13.73;76.09
A.A.0;2020-11-04T14:39:00.000+01:00;36.57;17.59
A.A.0;2020-11-04T18:00:00.000+01:00;20.75;79.12
A.A.0;2020-11-18T05:49:00.000+01:00;28.76;80.01
A.A.0;2020-11-21T09:00:00.000+01:00;37.14;0.59
A.A.0;2020-12-25T13:52:00.000+01:00;25.36;18.58
A.A.0;2020-12-27T13:12:00.000+01:00;14.03;68.63
A.A.0;2021-01-05T17:11:00.000+01:00;30.44;59.78
A.A.0;2021-01-14T13:28:00.000+01:00;18.3;70.59
A.A.0;2021-01-17T06:47:00.000+01:00;22.51;59.66
A.A.0;2021-01-18T16:58:00.000+01:00;36.04;84.64
A.A.0;2021-02-09T12:39:00.000+01:00;20.17;88.0
