neighborhood;dateTime;avg_temp;avg_hum
A;2020-04-06T13:35:00.000+02:00;28.79;31.09
A;2020-04-29T01:54:00.000+02:00;32.22;94.92
A;2020-04-29T04:51:00.000+02:00;30.31;98.25
A;2020-05-04T14:13:00.000+02:00;18.28;60.0
A;2020-05-06T23:05:00.000+02:00;25.27;91.9
A;2020-05-12T10:32:00.000+02:00;28.44;50.8
A;2020-05-18T20:02:00.000+02:00;17.65;65.61
A;2020-05-29T05:51:00.000+02:00;15.3;30.79
A;2020-05-31T09:50:00.000+02:00;14.25;20.2
A;2020-06-06T23:29:00.000+02:00;36.19;61.6
A;2020-06-17T14:53:00.000+02:00;22.91;19.28
A;2020-06-18T21:15:00.000+02:00;20.34;63.03
A;2020-07-01T18:39:00.000+02:00;22.0;71.1
A;2020-07-04T06:55:00.000+02:00;18.15;62.85
A;2020-07-12T09:48:00.000+02:00;18.55;37.27
A;2020-07-16T11:16:00.000+02:00;31.14;18.31
A;2020-08-26T19:00:00.000+02:00;28.06;39.75
A;2020-08-26T23:23:00.000+02:00;20.26;34.0
A;2020-08-29T12:49:00.000+02:00;13.97;76.99
A;2020-09-01T05:12:00.000+02:00;16.01;64.93
A;2020-09-07T12:07:00.000+02:00;21.1;79.37
A;2020-09-08T03:09:00.000+02:00;19.47;95.62
A;2020-09-14T03:58:00.000+02:00;15.04;17.43
A;2020-09-18T01:06:00.000+02:00;21.78;43.09
A;2020-09-23T05:14:00.000+02:00;28.57;88.9
A;2020-09-25T17:01:00.000+02:00;17.43;62.19
A;2020-10-01T15:54:00.000+02:00;24.03;34.35
A;2020-10-02T18:31:00.000+02:00;16.99;49.46
A;2020-10-04T19:24:00.000+02:00;27.26;64.86
A;2020-10-15T17:25:00.000+02:00;21.5;94.19
A;2020-10-16T12:47:00.000+02:00;17.26;16.38
A;2020-10-18T20:06:00.000+02:00;22.17;1.4
A;2020-10-19T11:08:00.000+02:00;12.38;77.98
A;2020-11-07T20:35:00.000+01:00;28.1;38.37
A;2020-11-12T12:23:00.000+01:00;20.66;60.8
A;2020-11-12T14:09:00.000+01:00;24.9;3.68
A;2020-11-16T07:58:00.000+01:00;21.73;32.29
A;2020-11-19T10:39:00.000+01:00;29.36;69.68
A;2020-11-20T03:23:00.000+01:00;26.61;65.32
A;2020-11-28T23:49:00.000+01:00;32.4;37.09
A;2020-12-05T13:00:00.000+01:00;15.41;81.05
A;2020-12-06T04:20:00.000+01:00;27.13;86.4
A;2020-12-06T08:52:00.000+01:00;17.39;8.16
A;2020-12-17T06:15:00.000+01:00;18.23;85.76
A;2020-12-25T11:00:00.000+01:00;21.26;20.83
A;2020-12-26T15:09:00.000+01:00;26.12;94.22
A;2020-12-29T00:30:00.000+01:00;30.38;1.86
A;2020-12-29T00:44:00.000+01:00;29.54;16.74
A;2021-01-07T06:07:00.000+01:00;18.87;42.45
A;2021-01-10T01:48:00.000+01:00;17.41;57.28
A;2021-01-10T20:36:00.000+01:00;25.14;77.52
A;2021-01-15T06:45:00.000+01:00;28.4;73.15
A;2021-01-19T14:57:00.000+01:00;18.7;17.57
A;2021-01-23T00:14:00.000+01:00;22.63;26.48
A;2021-01-24T14:02:00.000+01:00;29.38;36.84
A;2021-02-05T11:24:00.000+01:00;15.19;71.78
A;2021-02-08T17:40:00.000+01:00;24.77;43.02
A;2021-02-15T07:37:00.000+01:00;29.33;41.47
A;2021-02-15T08:17:00.000+01:00;21.07;43.82
A;2021-02-16T05:28:00.000+01:00;24.01;82.45
A;2021-02-20T04:03:00.000+01:00;28.52;51.2
A;2021-02-21T11:17:00.000+01:00;19.58;55.4
A;2021-02-23T21:05:00.000+01:00;17.01;85.27
A;2021-02-24T17:11:00.000+01:00;28.11;23.64
A;2021-02-27T19:51:00.000+01:00;15.89;97.06
A;2021-03-06T20:55:00.000+01:00;26.99;59.48
A;2021-03-07T08:51:00.000+01:00;28.27;11.01
A;2021-03-11T06:48:00.000+01:00;17.14;89.7
A;2021-03-27T01:03:00.000+01:00;24.75;65.26
A;2021-03-28T18:10:00.000+02:00;36.61;68.91
A;2021-04-06T07:20:00.000+02:00;20.14;88.72
A;2021-04-17T19:48:00.000+02:00;30.1;34.35
A;2021-04-30T16:42:00.000+02:00;22.07;88.9
A;2021-05-12T16:36:00.000+02:00;23.47;16.11
A;2021-05-27T11:05:00.000+02:00;14.92;50.13
A;2021-05-30T20:26:00.000+02:00;23.08;23.59
A;2021-06-01T16:11:00.000+02:00;26.33;72.79
A;2021-06-07T15:03:00.000+02:00;29.14;7.02
A;2021-06-10T14:29:00.000+02:00;22.91;5.68
A;2021-06-15T03:21:00.000+02:00;28.67;46.61
A;2021-06-19T10:20:00.000+02:00;30.36;75.59
A;2021-06-25T10:36:00.000+02:00;14.87;66.18
A;2021-06-29T14:28:00.000+02:00;11.82;15.13
A;2021-06-30T07:45:00.000+02:00;26.19;61.24
A;2021-06-30T22:32:00.000+02:00;32.02;12.09
A;2021-07-20T04:27:00.000+02:00;12.69;11.51
A;2021-07-24T15:21:00.000+02:00;14.3;44.44
A;2021-07-25T10:31:00.000+02:00;24.68;70.81
A;2021-07-28T05:42:00.000+02:00;22.18;78.71
A;2021-08-03T05:38:00.000+02:00;20.4;30.46
A;2021-08-12T06:02:00.000+02:00;27.23;42.26
A;2021-08-12T17:21:00.000+02:00;27.76;20.77
A;2021-08-15T14:17:00.000+02:00;31.76;20.62
A;2021-08-20T01:59:00.000+02:00;10.03;21.1
A;2021-08-21T05:26:00.000+02:00;37.04;27.46
A;2021-08-30T13:14:00.000+02:00;24.22;70.55
