fullBuildingLocation;dateTime;avg_temp;avg_hum
A.A;2020-04-04T07:50:00.000+02:00;24.24;1.43
A.A;2020-04-07T14:38:00.000+02:00;22.73;28.44
A.A;2020-04-08T14:28:00.000+02:00;23.62;25.08
A.A;2020-04-15T02:03:00.000+02:00;24.48;48.9
A.A;2020-04-19T17:27:00.000+02:00;21.69;71.96
A.A;2020-04-27T20:55:00.000+02:00;21.44;7.95
A.A;2020-05-10T09:35:00.000+02:00;24.68;33.65
A.A;2020-05-14T10:37:00.000+02:00;22.1;40.68
A.A;2020-05-16T13:39:00.000+02:00;21.79;39.45
A.A;2020-05-18T13:07:00.000+02:00;22.16;49.55
A.A;2020-05-23T21:44:00.000+02:00;22.82;47.16
A.A;2020-05-29T01:36:00.000+02:00;22.99;28.07
A.A;2020-06-06T09:49:00.000+02:00;26.97;41.0
A.A;2020-06-06T16:15:00.000+02:00;26.52;44.38
A.A;2020-06-21T02:07:00.000+02:00;21.16;26.75
A.A;2020-06-26T18:54:00.000+02:00;21.79;26.44
A.A;2020-07-05T07:23:00.000+02:00;22.55;36.59
A.A;2020-07-06T10:43:00.000+02:00;22.72;42.56
A.A;2020-07-11T17:24:00.000+02:00;25.13;51.99
A.A;2020-07-15T12:01:00.000+02:00;24.25;64.98
A.A;2020-07-18T10:25:00.000+02:00;24.39;60.63
A.A;2020-07-20T06:41:00.000+02:00;24.29;53.56
A.A;2020-07-21T18:46:00.000+02:00;24.59;55.1
A.A;2020-07-30T23:27:00.000+02:00;22.24;0.98
A.A;2020-08-25T09:17:00.000+02:00;24.51;15.6
A.A;2020-08-30T05:28:00.000+02:00;23.63;21.52
A.A;2020-09-19T23:51:00.000+02:00;24.79;99.68
A.A;2020-09-21T08:49:00.000+02:00;24.89;65.28
A.A;2020-09-27T02:51:00.000+02:00;23.58;49.58
A.A;2020-09-30T06:33:00.000+02:00;25.43;36.36
A.A;2020-10-17T11:19:00.000+02:00;23.96;77.57
A.A;2020-10-17T20:20:00.000+02:00;23.75;39.46
A.A;2020-10-26T22:56:00.000+01:00;23.8;76.09
A.A;2020-11-04T14:39:00.000+01:00;23.08;17.59
A.A;2020-11-04T18:00:00.000+01:00;23.01;48.36
A.A;2020-11-18T05:49:00.000+01:00;22.69;80.01
A.A;2020-11-21T09:00:00.000+01:00;22.9;40.3
A.A;2020-12-25T13:52:00.000+01:00;23.59;18.58
A.A;2020-12-27T13:12:00.000+01:00;22.54;43.6
A.A;2021-01-05T17:11:00.000+01:00;24.36;59.78
A.A;2021-01-14T13:28:00.000+01:00;24.33;70.59
A.A;2021-01-17T06:47:00.000+01:00;23.81;65.12
A.A;2021-01-18T16:58:00.000+01:00;23.24;71.63
A.A;2021-02-09T12:39:00.000+01:00;24.08;88.0
A.A;2021-02-09T23:16:00.000+01:00;23.8;65.82
A.A;2021-02-11T05:01:00.000+01:00;23.8;74.08
A.A;2021-02-14T15:29:00.000+01:00;25.21;77.78
A.A;2021-02-15T19:43:00.000+01:00;24.05;76.16
A.A;2021-03-11T09:27:00.000+01:00;21.71;50.2
A.A;2021-03-12T16:53:00.000+01:00;22.05;31.66
A.A;2021-03-19T04:54:00.000+01:00;22.72;19.64
A.A;2021-03-23T16:30:00.000+01:00;22.91;13.75
A.A;2021-03-29T06:46:00.000+02:00;25.98;34.27
A.A;2021-04-04T02:17:00.000+02:00;22.27;79.51
A.A;2021-04-15T21:12:00.000+02:00;23.03;70.01
A.A;2021-04-18T00:44:00.000+02:00;21.79;40.5
A.A;2021-04-18T13:12:00.000+02:00;22.85;51.55
A.A;2021-04-19T05:04:00.000+02:00;22.29;41.33
A.A;2021-04-21T17:32:00.000+02:00;21.06;46.1
A.A;2021-04-24T16:25:00.000+02:00;23.19;49.92
A.A;2021-04-28T09:47:00.000+02:00;23.47;79.27
A.A;2021-04-28T12:30:00.000+02:00;23.06;70.72
A.A;2021-05-03T22:04:00.000+02:00;22.62;59.45
A.A;2021-05-08T17:52:00.000+02:00;22.37;56.51
A.A;2021-05-09T09:20:00.000+02:00;22.63;49.23
A.A;2021-06-02T10:34:00.000+02:00;22.76;30.99
A.A;2021-06-09T16:08:00.000+02:00;27.29;39.62
A.A;2021-06-16T14:19:00.000+02:00;27.75;23.1
A.A;2021-06-18T14:12:00.000+02:00;26.72;17.76
A.A;2021-06-21T16:10:00.000+02:00;25.02;14.78
A.A;2021-06-22T12:38:00.000+02:00;25.01;15.5
A.A;2021-06-27T15:14:00.000+02:00;21.07;38.9
A.A;2021-07-06T09:55:00.000+02:00;19.61;7.22
A.A;2021-07-13T17:25:00.000+02:00;25.02;78.32
A.A;2021-07-22T14:43:00.000+02:00;25.41;60.31
A.A;2021-08-01T06:22:00.000+02:00;23.16;65.58
A.A;2021-08-01T14:11:00.000+02:00;22.73;59.28
A.A;2021-08-02T22:06:00.000+02:00;23.28;53.57
A.A;2021-08-07T14:41:00.000+02:00;21.89;52.41
A.A;2021-08-22T13:11:00.000+02:00;23.53;68.74
A.A;2021-08-27T16:06:00.000+02:00;26.18;76.26
A.A;2021-08-28T04:49:00.000+02:00;25.3;54.33
A.A;2021-09-07T10:47:00.000+02:00;24.8;88.41
A.A;2021-09-09T17:03:00.000+02:00;26.49;57.04
A.A;2021-09-12T02:15:00.000+02:00;26.74;62.12
A.A;2021-09-21T14:55:00.000+02:00;24.16;59.2
A.A;2021-09-23T01:16:00.000+02:00;25.38;51.83
A.A;2021-09-29T10:35:00.000+02:00;22.66;41.18
A.A;2021-10-04T14:48:00.000+02:00;23.93;44.2
A.A;2021-10-08T00:48:00.000+02:00;25.74;58.34
A.A;2021-10-11T18:39:00.000+02:00;25.06;78.55
A.A;2021-10-22T02:24:00.000+02:00;22.42;19.09
A.A;2021-10-25T05:35:00.000+02:00;24.28;18.56
A.A;2021-10-27T11:28:00.000+02:00;23.86;19.7
A.A;2021-10-30T00:18:00.000+02:00;23.77;42.1
A.A;2021-10-31T13:18:00.000+01:00;23.58;32.31
A.A;2021-11-06T06:29:00.000+01:00;21.32;13.67
A.A;2021-11-06T15:00:00.000+01:00;21.82;22.89
A.A;2021-11-11T19:07:00.000+01:00;25.14;34.37
A.A;2021-11-13T18:07:00.000+01:00;25.07;42.04
A.A;2021-12-03T18:12:00.000+01:00;20.79;95.58
A.A;2021-12-05T03:06:00.000+01:00;22.52;82.12
A.A;2021-12-22T17:50:00.000+01:00;22.46;79.91
A.A;2021-12-23T20:17:00.000+01:00;22.07;43.81
A.A;2021-12-25T16:44:00.000+01:00;22.4;59.4
A.A;2021-12-28T14:43:00.000+01:00;24.17;67.75
A.A;2021-12-31T09:19:00.000+01:00;24.64;66.53
A.A;2022-01-05T15:43:00.000+01:00;24.43;22.09
A.A;2022-01-07T18:40:00.000+01:00;25.2;14.91
A.A;2022-01-09T12:51:00.000+01:00;23.86;33.1
A.A;2022-01-13T21:34:00.000+01:00;25.05;38.55
A.A;2022-01-28T18:28:00.000+01:00;22.03;6.85
A.A;2022-01-29T15:37:00.000+01:00;23.45;12.68
A.A;2022-01-31T00:04:00.000+01:00;26.09;26.49
A.A;2022-02-01T21:02:00.000+01:00;27.26;44.53
A.A;2022-02-02T18:29:00.000+01:00;26.71;45.55
A.A;2022-02-04T05:31:00.000+01:00;26.99;49.02
