fullBuildingLocation;dateTime;avg_temp;avg_hum
A.A;2020-04-06T13:35:00.000+02:00;22.66;31.09
A.A;2020-04-29T01:54:00.000+02:00;21.65;94.92
A.A;2020-04-29T04:51:00.000+02:00;22.48;96.58
A.A;2020-05-04T14:13:00.000+02:00;23.55;84.39
A.A;2020-05-06T23:05:00.000+02:00;23.99;75.95
A.A;2020-05-12T10:32:00.000+02:00;24.5;71.35
A.A;2020-05-18T20:02:00.000+02:00;22.29;58.2
A.A;2020-05-29T05:51:00.000+02:00;22.42;30.79
A.A;2020-05-31T09:50:00.000+02:00;21.16;25.5
A.A;2020-06-06T23:29:00.000+02:00;27.18;40.9
A.A;2020-06-17T14:53:00.000+02:00;23.83;19.28
A.A;2020-06-18T21:15:00.000+02:00;23.58;41.15
A.A;2020-07-01T18:39:00.000+02:00;21.91;71.1
A.A;2020-07-04T06:55:00.000+02:00;22.45;66.97
A.A;2020-07-12T09:48:00.000+02:00;23.98;37.27
A.A;2020-07-16T11:16:00.000+02:00;23.51;27.79
A.A;2020-08-26T19:00:00.000+02:00;23.67;39.75
A.A;2020-08-26T23:23:00.000+02:00;23.88;36.88
A.A;2020-08-29T12:49:00.000+02:00;23.87;50.25
A.A;2020-09-01T05:12:00.000+02:00;24.1;53.92
A.A;2020-09-07T12:07:00.000+02:00;22.53;72.15
A.A;2020-09-08T03:09:00.000+02:00;22.65;79.97
A.A;2020-09-14T03:58:00.000+02:00;22.98;64.14
A.A;2020-09-18T01:06:00.000+02:00;23.09;30.26
A.A;2020-09-23T05:14:00.000+02:00;24.96;66.0
A.A;2020-09-25T17:01:00.000+02:00;23.74;75.55
A.A;2020-10-01T15:54:00.000+02:00;23.44;48.27
A.A;2020-10-02T18:31:00.000+02:00;23.39;41.9
A.A;2020-10-04T19:24:00.000+02:00;23.41;49.56
A.A;2020-10-15T17:25:00.000+02:00;23.98;94.19
A.A;2020-10-16T12:47:00.000+02:00;23.7;55.29
A.A;2020-10-18T20:06:00.000+02:00;23.1;37.32
A.A;2020-10-19T11:08:00.000+02:00;21.82;47.49
A.A;2020-11-07T20:35:00.000+01:00;22.97;38.37
A.A;2020-11-12T12:23:00.000+01:00;25.06;49.58
A.A;2020-11-12T14:09:00.000+01:00;25.05;34.28
A.A;2020-11-16T07:58:00.000+01:00;24.11;32.26
A.A;2020-11-19T10:39:00.000+01:00;22.79;41.61
A.A;2020-11-20T03:23:00.000+01:00;22.24;55.76
A.A;2020-11-28T23:49:00.000+01:00;26.94;37.09
A.A;2020-12-05T13:00:00.000+01:00;24.23;59.07
A.A;2020-12-06T04:20:00.000+01:00;24.8;83.73
A.A;2020-12-06T08:52:00.000+01:00;24.54;58.54
A.A;2020-12-17T06:15:00.000+01:00;24.31;85.76
A.A;2020-12-25T11:00:00.000+01:00;23.48;20.83
A.A;2020-12-26T15:09:00.000+01:00;23.05;57.53
A.A;2020-12-29T00:30:00.000+01:00;22.83;38.97
A.A;2020-12-29T00:44:00.000+01:00;22.84;37.13
A.A;2021-01-07T06:07:00.000+01:00;25.35;42.45
A.A;2021-01-10T01:48:00.000+01:00;25.18;49.86
A.A;2021-01-10T20:36:00.000+01:00;24.31;59.08
A.A;2021-01-15T06:45:00.000+01:00;24.06;69.32
A.A;2021-01-19T14:57:00.000+01:00;22.53;45.36
A.A;2021-01-23T00:14:00.000+01:00;21.49;22.02
A.A;2021-01-24T14:02:00.000+01:00;22.73;26.96
A.A;2021-02-05T11:24:00.000+01:00;24.82;71.78
A.A;2021-02-08T17:40:00.000+01:00;24.35;57.4
A.A;2021-02-15T07:37:00.000+01:00;24.41;42.25
A.A;2021-02-15T08:17:00.000+01:00;24.06;43.55
A.A;2021-02-16T05:28:00.000+01:00;24.05;56.69
A.A;2021-02-20T04:03:00.000+01:00;23.71;55.32
A.A;2021-02-21T11:17:00.000+01:00;23.45;55.34
A.A;2021-02-23T21:05:00.000+01:00;23.89;63.96
A.A;2021-02-24T17:11:00.000+01:00;24.41;53.88
A.A;2021-02-27T19:51:00.000+01:00;24.63;65.34
A.A;2021-03-06T20:55:00.000+01:00;22.38;59.48
A.A;2021-03-07T08:51:00.000+01:00;22.62;35.24
A.A;2021-03-11T06:48:00.000+01:00;21.75;53.4
A.A;2021-03-27T01:03:00.000+01:00;25.53;65.26
A.A;2021-03-28T18:10:00.000+02:00;25.66;67.09
A.A;2021-04-06T07:20:00.000+02:00;21.54;88.72
A.A;2021-04-17T19:48:00.000+02:00;22.42;34.35
A.A;2021-04-30T16:42:00.000+02:00;23.15;88.9
A.A;2021-05-12T16:36:00.000+02:00;22.98;16.11
A.A;2021-05-27T11:05:00.000+02:00;22.68;50.13
A.A;2021-05-30T20:26:00.000+02:00;22.84;36.86
A.A;2021-06-01T16:11:00.000+02:00;22.28;48.84
A.A;2021-06-07T15:03:00.000+02:00;26.53;39.91
A.A;2021-06-10T14:29:00.000+02:00;28.15;6.35
A.A;2021-06-15T03:21:00.000+02:00;26.85;26.15
A.A;2021-06-19T10:20:00.000+02:00;26.34;61.1
A.A;2021-06-25T10:36:00.000+02:00;21.44;70.88
A.A;2021-06-29T14:28:00.000+02:00;21.73;40.66
A.A;2021-06-30T07:45:00.000+02:00;21.68;47.52
A.A;2021-06-30T22:32:00.000+02:00;22.21;38.66
A.A;2021-07-20T04:27:00.000+02:00;25.63;11.51
A.A;2021-07-24T15:21:00.000+02:00;22.76;27.97
A.A;2021-07-25T10:31:00.000+02:00;22.57;42.25
A.A;2021-07-28T05:42:00.000+02:00;21.95;64.65
A.A;2021-08-03T05:38:00.000+02:00;23.11;54.58
A.A;2021-08-12T06:02:00.000+02:00;25.05;42.26
A.A;2021-08-12T17:21:00.000+02:00;25.43;31.51
A.A;2021-08-15T14:17:00.000+02:00;25.32;27.88
A.A;2021-08-20T01:59:00.000+02:00;22.84;20.86
A.A;2021-08-21T05:26:00.000+02:00;22.47;23.06
A.A;2021-08-30T13:14:00.000+02:00;24.86;70.55
A.A;2021-09-07T01:14:00.000+02:00;24.11;23.48
A.A;2021-09-07T19:42:00.000+02:00;25.44;51.59
A.A;2021-09-09T16:30:00.000+02:00;26.23;37.15
A.A;2021-09-10T01:07:00.000+02:00;27.35;38.75
A.A;2021-09-15T14:29:00.000+02:00;24.23;28.92
A.A;2021-09-16T08:02:00.000+02:00;24.05;23.12
A.A;2021-09-22T10:00:00.000+02:00;25.34;45.4
A.A;2021-09-22T18:42:00.000+02:00;25.18;39.11
A.A;2021-09-25T23:58:00.000+02:00;24.12;67.92
A.A;2021-10-12T21:49:00.000+02:00;24.83;38.95
A.A;2021-10-17T20:01:00.000+02:00;24.01;62.76
A.A;2021-10-18T19:36:00.000+02:00;23.91;58.63
A.A;2021-10-21T07:20:00.000+02:00;22.62;57.19
A.A;2021-10-25T02:19:00.000+02:00;23.97;38.45
A.A;2021-10-25T15:34:00.000+02:00;24.36;39.0
A.A;2021-10-29T19:28:00.000+02:00;24.01;33.41
A.A;2021-10-31T08:44:00.000+01:00;23.89;41.87
A.A;2021-11-02T15:45:00.000+01:00;21.65;38.34
A.A;2021-11-07T15:00:00.000+01:00;21.82;9.88
A.A;2021-11-15T16:42:00.000+01:00;25.7;32.58
A.A;2021-11-25T05:14:00.000+01:00;22.72;28.87
A.A;2021-11-30T16:27:00.000+01:00;21.79;41.38
A.A;2021-12-05T02:04:00.000+01:00;22.52;64.13
A.A;2021-12-09T12:06:00.000+01:00;24.47;66.08
A.A;2021-12-13T15:32:00.000+01:00;24.68;56.41
A.A;2021-12-19T23:13:00.000+01:00;24.38;69.61
A.A;2021-12-21T00:53:00.000+01:00;23.14;45.87
A.A;2021-12-25T00:09:00.000+01:00;22.15;47.82
A.A;2022-01-05T16:34:00.000+01:00;24.61;50.4
A.A;2022-01-07T19:45:00.000+01:00;24.8;29.17
A.A;2022-01-11T09:31:00.000+01:00;26.5;49.53
A.A;2022-01-14T04:06:00.000+01:00;25.5;59.49
A.A;2022-01-15T21:21:00.000+01:00;25.26;81.47
A.A;2022-01-17T08:23:00.000+01:00;25.0;67.83
A.A;2022-01-24T08:55:00.000+01:00;20.82;89.24
A.A;2022-01-30T22:11:00.000+01:00;25.22;94.15
A.A;2022-01-31T19:20:00.000+01:00;26.72;58.23
A.A;2022-02-05T09:27:00.000+01:00;27.2;51.16
A.A;2022-02-09T10:35:00.000+01:00;23.14;65.05
A.A;2022-02-09T12:22:00.000+01:00;23.39;46.37
A.A;2022-02-14T18:09:00.000+01:00;24.12;52.59
A.A;2022-02-24T10:23:00.000+01:00;24.02;36.2
A.A;2022-02-28T20:31:00.000+01:00;23.97;24.72
A.A;2022-03-05T17:07:00.000+01:00;23.75;56.27
A.A;2022-03-07T23:08:00.000+01:00;21.79;91.31
A.A;2022-03-10T22:15:00.000+01:00;20.31;80.89
A.A;2022-03-15T02:20:00.000+01:00;21.66;60.48
A.A;2022-03-21T03:51:00.000+01:00;25.67;57.31
A.A;2022-03-27T03:50:00.000+02:00;23.98;65.44
A.A;2022-03-31T10:06:00.000+02:00;24.06;79.79
A.A;2022-04-09T00:21:00.000+02:00;22.88;0.61
A.A;2022-04-14T00:04:00.000+02:00;23.84;32.37
A.A;2022-04-18T05:50:00.000+02:00;19.03;53.97
A.A;2022-04-26T13:02:00.000+02:00;25.05;28.53
A.A;2022-05-03T14:49:00.000+02:00;23.65;37.97
A.A;2022-05-10T04:38:00.000+02:00;23.28;61.35
A.A;2022-05-17T23:33:00.000+02:00;23.25;70.17
A.A;2022-05-18T19:18:00.000+02:00;23.33;36.55
A.A;2022-05-22T20:23:00.000+02:00;23.51;33.21
A.A;2022-05-22T23:14:00.000+02:00;23.51;48.13
A.A;2022-05-28T09:01:00.000+02:00;25.32;56.86
A.A;2022-06-01T02:04:00.000+02:00;23.11;63.0
A.A;2022-06-13T06:20:00.000+02:00;23.69;56.6
A.A;2022-06-15T17:25:00.000+02:00;23.95;57.8
A.A;2022-06-18T07:49:00.000+02:00;24.56;47.66
A.A;2022-06-28T11:23:00.000+02:00;25.17;82.83
A.A;2022-07-08T00:17:00.000+02:00;22.48;57.97
A.A;2022-07-09T19:36:00.000+02:00;22.52;70.22
A.A;2022-07-14T21:49:00.000+02:00;25.23;75.92
A.A;2022-07-21T03:42:00.000+02:00;24.98;60.32
A.A;2022-07-24T15:19:00.000+02:00;26.02;32.73
A.A;2022-07-25T19:42:00.000+02:00;25.9;44.63
A.A;2022-08-02T16:19:00.000+02:00;22.15;62.58
A.A;2022-08-08T08:07:00.000+02:00;21.78;57.61
A.A;2022-08-31T16:08:00.000+02:00;22.12;49.78
A.A;2020-04-08T10:26:00.000+02:00;23.42;46.3
A.A;2020-04-13T15:08:00.000+02:00;24.01;66.24
A.A;2020-04-16T02:21:00.000+02:00;21.91;70.94
A.A;2020-04-24T21:48:00.000+02:00;22.59;98.36
A.A;2020-04-26T12:09:00.000+02:00;22.12;69.84
A.A;2020-05-01T09:11:00.000+02:00;22.83;46.65
A.A;2020-05-10T16:22:00.000+02:00;24.69;16.78
A.A;2020-05-14T12:38:00.000+02:00;22.49;56.7
A.A;2020-05-15T07:49:00.000+02:00;22.64;44.24
A.A;2020-05-19T00:39:00.000+02:00;22.18;45.44
A.A;2020-05-28T23:48:00.000+02:00;23.25;78.6
A.A;2020-05-30T03:55:00.000+02:00;21.62;56.01
A.A;2020-05-31T15:32:00.000+02:00;21.32;53.61
A.A;2020-06-05T21:51:00.000+02:00;26.77;45.37
A.A;2020-06-14T12:41:00.000+02:00;24.18;73.91
A.A;2020-06-20T10:38:00.000+02:00;21.79;76.4
A.A;2020-06-22T03:50:00.000+02:00;22.49;54.24
A.A;2020-06-27T21:20:00.000+02:00;22.55;48.4
A.A;2020-06-28T19:11:00.000+02:00;21.88;51.34
A.A;2020-07-05T23:54:00.000+02:00;22.55;58.23
A.A;2020-07-11T15:30:00.000+02:00;24.96;38.97
A.A;2020-07-12T21:54:00.000+02:00;24.62;34.63
A.A;2020-07-14T19:45:00.000+02:00;24.05;17.89
A.A;2020-07-20T16:42:00.000+02:00;24.17;9.94
A.A;2020-07-22T14:55:00.000+02:00;24.07;21.12
A.A;2020-08-18T10:12:00.000+02:00;26.71;11.48
A.A;2020-08-21T09:20:00.000+02:00;24.02;18.47
A.A;2020-08-22T03:13:00.000+02:00;24.3;31.92
A.A;2020-08-23T02:12:00.000+02:00;23.74;35.99
A.A;2020-09-03T22:45:00.000+02:00;23.73;26.81
A.A;2020-09-14T23:08:00.000+02:00;23.06;54.66
A.A;2020-09-26T00:56:00.000+02:00;23.34;24.88
A.A;2020-09-30T16:43:00.000+02:00;25.03;26.99
A.A;2020-10-01T05:45:00.000+02:00;24.28;39.46
A.A;2020-10-13T21:24:00.000+02:00;22.4;71.19
A.A;2020-10-16T06:41:00.000+02:00;23.68;74.33
A.A;2020-10-20T12:34:00.000+02:00;22.32;79.94
A.A;2020-10-24T03:53:00.000+02:00;22.26;65.62
A.A;2020-10-24T09:19:00.000+02:00;22.54;56.82
A.A;2020-10-24T20:34:00.000+02:00;22.21;46.48
A.A;2020-10-26T08:30:00.000+01:00;22.46;51.16
A.A;2020-11-02T03:09:00.000+01:00;22.36;83.08
A.A;2020-11-02T06:28:00.000+01:00;22.16;86.0
A.A;2020-11-07T15:04:00.000+01:00;22.92;64.97
A.A;2020-11-07T18:23:00.000+01:00;22.56;58.41
A.A;2020-11-14T04:18:00.000+01:00;24.83;39.86
A.A;2020-11-17T22:30:00.000+01:00;22.5;74.44
A.A;2020-11-19T06:44:00.000+01:00;22.75;73.78
A.A;2020-11-28T10:02:00.000+01:00;27.71;62.91
A.A;2020-12-03T16:56:00.000+01:00;26.2;56.91
A.A;2020-12-10T10:14:00.000+01:00;23.31;74.79
A.A;2020-12-16T04:36:00.000+01:00;24.67;51.61
A.A;2020-12-29T11:24:00.000+01:00;22.86;83.77
A.A;2021-01-01T09:39:00.000+01:00;23.0;57.4
A.A;2021-01-14T08:45:00.000+01:00;24.72;43.56
A.A;2021-01-19T17:37:00.000+01:00;22.26;66.86
A.A;2021-01-26T01:42:00.000+01:00;21.95;92.66
A.A;2021-01-27T05:17:00.000+01:00;22.15;67.41
A.A;2021-01-30T09:11:00.000+01:00;22.87;63.32
A.A;2021-02-02T07:40:00.000+01:00;22.73;55.32
A.A;2021-02-07T00:00:00.000+01:00;24.98;47.56
A.A;2021-02-13T07:55:00.000+01:00;24.13;26.02
A.A;2021-02-14T13:45:00.000+01:00;24.79;21.39
A.A;2021-02-14T15:01:00.000+01:00;24.91;34.82
A.A;2021-02-25T00:27:00.000+01:00;24.5;11.92
