fullFloorLocation;dateTime;avg_temp;avg_hum
A.A.0;2020-04-06T13:35:00.000+02:00;25.8;31.09
A.A.0;2020-04-29T01:54:00.000+02:00;22.59;94.92
A.A.0;2020-04-29T04:51:00.000+02:00;25.11;96.58
A.A.0;2020-05-04T14:13:00.000+02:00;23.73;84.39
A.A.0;2020-05-06T23:05:00.000+02:00;20.53;75.95
A.A.0;2020-05-12T10:32:00.000+02:00;25.74;71.35
A.A.0;2020-05-18T20:02:00.000+02:00;22.31;58.2
A.A.0;2020-05-29T05:51:00.000+02:00;25.48;30.79
A.A.0;2020-05-31T09:50:00.000+02:00;21.74;25.5
A.A.0;2020-06-06T23:29:00.000+02:00;27.1;40.9
A.A.0;2020-06-17T14:53:00.000+02:00;21.96;19.28
A.A.0;2020-06-18T21:15:00.000+02:00;18.89;41.15
A.A.0;2020-07-01T18:39:00.000+02:00;19.56;71.1
A.A.0;2020-07-04T06:55:00.000+02:00;18.5;66.97
A.A.0;2020-07-12T09:48:00.000+02:00;24.03;37.27
A.A.0;2020-07-16T11:16:00.000+02:00;23.98;27.79
A.A.0;2020-08-26T19:00:00.000+02:00;27.17;39.75
A.A.0;2020-08-26T23:23:00.000+02:00;26.59;36.88
A.A.0;2020-08-29T12:49:00.000+02:00;26.09;50.25
A.A.0;2020-09-01T05:12:00.000+02:00;21.12;53.92
A.A.0;2020-09-07T12:07:00.000+02:00;17.11;72.15
A.A.0;2020-09-08T03:09:00.000+02:00;18.13;79.97
A.A.0;2020-09-14T03:58:00.000+02:00;17.95;64.14
A.A.0;2020-09-18T01:06:00.000+02:00;21.09;30.26
A.A.0;2020-09-23T05:14:00.000+02:00;25.03;66.0
A.A.0;2020-09-25T17:01:00.000+02:00;25.27;75.55
A.A.0;2020-10-01T15:54:00.000+02:00;22.49;48.27
A.A.0;2020-10-02T18:31:00.000+02:00;21.1;41.9
A.A.0;2020-10-04T19:24:00.000+02:00;23.68;49.56
A.A.0;2020-10-15T17:25:00.000+02:00;19.98;94.19
A.A.0;2020-10-16T12:47:00.000+02:00;20.08;55.29
A.A.0;2020-10-18T20:06:00.000+02:00;21.19;37.32
A.A.0;2020-10-19T11:08:00.000+02:00;20.49;47.49
A.A.0;2020-11-07T20:35:00.000+01:00;25.69;38.37
A.A.0;2020-11-12T12:23:00.000+01:00;25.32;49.58
A.A.0;2020-11-12T14:09:00.000+01:00;24.42;34.28
A.A.0;2020-11-16T07:58:00.000+01:00;23.95;32.26
A.A.0;2020-11-19T10:39:00.000+01:00;25.01;41.61
A.A.0;2020-11-20T03:23:00.000+01:00;26.1;55.76
A.A.0;2020-11-28T23:49:00.000+01:00;28.47;37.09
A.A.0;2020-12-05T13:00:00.000+01:00;21.92;59.07
A.A.0;2020-12-06T04:20:00.000+01:00;21.67;83.73
A.A.0;2020-12-06T08:52:00.000+01:00;21.16;58.54
A.A.0;2020-12-17T06:15:00.000+01:00;22.64;85.76
A.A.0;2020-12-25T11:00:00.000+01:00;22.18;20.83
A.A.0;2020-12-26T15:09:00.000+01:00;24.57;57.53
A.A.0;2020-12-29T00:30:00.000+01:00;24.31;38.97
A.A.0;2020-12-29T00:44:00.000+01:00;24.23;37.13
A.A.0;2021-01-07T06:07:00.000+01:00;27.75;42.45
A.A.0;2021-01-10T01:48:00.000+01:00;23.22;49.86
A.A.0;2021-01-10T20:36:00.000+01:00;23.54;59.08
A.A.0;2021-01-15T06:45:00.000+01:00;25.14;69.32
A.A.0;2021-01-19T14:57:00.000+01:00;24.99;45.36
A.A.0;2021-01-23T00:14:00.000+01:00;18.67;22.02
A.A.0;2021-01-24T14:02:00.000+01:00;19.24;26.96
A.A.0;2021-02-05T11:24:00.000+01:00;23.9;71.78
A.A.0;2021-02-08T17:40:00.000+01:00;24.83;57.4
A.A.0;2021-02-15T07:37:00.000+01:00;23.23;42.25
A.A.0;2021-02-15T08:17:00.000+01:00;22.43;43.55
A.A.0;2021-02-16T05:28:00.000+01:00;22.94;56.69
A.A.0;2021-02-20T04:03:00.000+01:00;24.64;55.32
A.A.0;2021-02-21T11:17:00.000+01:00;23.59;55.34
