neighborhood;dateTime;avg_temp;avg_hum
A;2020-04-04T07:50:00.000+02:00;23.65;1.43
A;2020-04-07T14:38:00.000+02:00;24.3;28.44
A;2020-04-08T14:28:00.000+02:00;24.5;25.08
A;2020-04-15T02:03:00.000+02:00;24.52;48.9
A;2020-04-19T17:27:00.000+02:00;22.96;71.96
A;2020-04-27T20:55:00.000+02:00;23.36;7.95
A;2020-05-10T09:35:00.000+02:00;24.41;33.65
A;2020-05-14T10:37:00.000+02:00;23.87;40.68
A;2020-05-16T13:39:00.000+02:00;24.11;39.45
A;2020-05-18T13:07:00.000+02:00;23.64;49.55
A;2020-05-23T21:44:00.000+02:00;22.85;47.16
A;2020-05-29T01:36:00.000+02:00;23.9;28.07
A;2020-06-06T09:49:00.000+02:00;23.77;41.0
A;2020-06-06T16:15:00.000+02:00;24.06;44.38
A;2020-06-21T02:07:00.000+02:00;23.65;26.75
A;2020-06-26T18:54:00.000+02:00;23.16;26.44
A;2020-07-05T07:23:00.000+02:00;23.73;36.59
A;2020-07-06T10:43:00.000+02:00;23.82;42.56
A;2020-07-11T17:24:00.000+02:00;24.03;51.99
A;2020-07-15T12:01:00.000+02:00;24.01;64.98
A;2020-07-18T10:25:00.000+02:00;24.29;60.63
A;2020-07-20T06:41:00.000+02:00;23.5;53.56
A;2020-07-21T18:46:00.000+02:00;23.56;55.1
A;2020-07-30T23:27:00.000+02:00;23.32;0.98
A;2020-08-25T09:17:00.000+02:00;24.23;15.6
A;2020-08-30T05:28:00.000+02:00;23.41;21.52
A;2020-09-19T23:51:00.000+02:00;24.57;99.68
A;2020-09-21T08:49:00.000+02:00;24.54;65.28
A;2020-09-27T02:51:00.000+02:00;23.52;49.58
A;2020-09-30T06:33:00.000+02:00;23.71;36.36
A;2020-10-17T11:19:00.000+02:00;24.85;77.57
A;2020-10-17T20:20:00.000+02:00;24.83;39.46
A;2020-10-26T22:56:00.000+01:00;23.85;76.09
A;2020-11-04T14:39:00.000+01:00;24.4;17.59
