neighborhood;dateTime;avg_temp;avg_hum
A;2020-04-06T13:35:00.000+02:00;24.28;31.09
A;2020-04-29T01:54:00.000+02:00;23.55;94.92
A;2020-04-29T04:51:00.000+02:00;23.71;96.58
A;2020-05-04T14:13:00.000+02:00;24.69;84.39
A;2020-05-06T23:05:00.000+02:00;24.11;75.95
A;2020-05-12T10:32:00.000+02:00;24.24;71.35
A;2020-05-18T20:02:00.000+02:00;23.43;58.2
A;2020-05-29T05:51:00.000+02:00;23.58;30.79
A;2020-05-31T09:50:00.000+02:00;23.34;25.5
A;2020-06-06T23:29:00.000+02:00;24.19;40.9
A;2020-06-17T14:53:00.000+02:00;24.14;19.28
A;2020-06-18T21:15:00.000+02:00;24.12;41.15
A;2020-07-01T18:39:00.000+02:00;23.88;71.1
A;2020-07-04T06:55:00.000+02:00;23.83;66.97
A;2020-07-12T09:48:00.000+02:00;23.94;37.27
A;2020-07-16T11:16:00.000+02:00;24.0;27.79
A;2020-08-26T19:00:00.000+02:00;23.84;39.75
A;2020-08-26T23:23:00.000+02:00;23.62;36.88
A;2020-08-29T12:49:00.000+02:00;23.37;50.25
A;2020-09-01T05:12:00.000+02:00;23.15;53.92
A;2020-09-07T12:07:00.000+02:00;23.29;72.15
A;2020-09-08T03:09:00.000+02:00;22.99;79.97
A;2020-09-14T03:58:00.000+02:00;23.79;64.14
A;2020-09-18T01:06:00.000+02:00;23.7;30.26
A;2020-09-23T05:14:00.000+02:00;24.53;66.0
A;2020-09-25T17:01:00.000+02:00;23.8;75.55
A;2020-10-01T15:54:00.000+02:00;22.81;48.27
A;2020-10-02T18:31:00.000+02:00;22.74;41.9
A;2020-10-04T19:24:00.000+02:00;23.27;49.56
A;2020-10-15T17:25:00.000+02:00;24.01;94.19
A;2020-10-16T12:47:00.000+02:00;24.1;55.29
A;2020-10-18T20:06:00.000+02:00;24.39;37.32
A;2020-10-19T11:08:00.000+02:00;24.27;47.49
A;2020-11-07T20:35:00.000+01:00;24.23;38.37
A;2020-11-12T12:23:00.000+01:00;24.45;49.58
A;2020-11-12T14:09:00.000+01:00;24.46;34.28
A;2020-11-16T07:58:00.000+01:00;23.71;32.26
A;2020-11-19T10:39:00.000+01:00;22.53;41.61
A;2020-11-20T03:23:00.000+01:00;22.96;55.76
A;2020-11-28T23:49:00.000+01:00;23.9;37.09
A;2020-12-05T13:00:00.000+01:00;24.42;59.07
A;2020-12-06T04:20:00.000+01:00;24.56;83.73
A;2020-12-06T08:52:00.000+01:00;24.52;58.54
A;2020-12-17T06:15:00.000+01:00;23.03;85.76
A;2020-12-25T11:00:00.000+01:00;22.84;20.83
A;2020-12-26T15:09:00.000+01:00;23.12;57.53
A;2020-12-29T00:30:00.000+01:00;23.62;38.97
A;2020-12-29T00:44:00.000+01:00;23.62;37.13
A;2021-01-07T06:07:00.000+01:00;24.46;42.45
A;2021-01-10T01:48:00.000+01:00;24.54;49.86
A;2021-01-10T20:36:00.000+01:00;24.11;59.08
A;2021-01-15T06:45:00.000+01:00;23.86;69.32
A;2021-01-19T14:57:00.000+01:00;23.21;45.36
A;2021-01-23T00:14:00.000+01:00;23.95;22.02
A;2021-01-24T14:02:00.000+01:00;24.28;26.96
A;2021-02-05T11:24:00.000+01:00;23.06;71.78
A;2021-02-08T17:40:00.000+01:00;23.15;57.4
A;2021-02-15T07:37:00.000+01:00;24.01;42.25
A;2021-02-15T08:17:00.000+01:00;23.93;43.55
A;2021-02-16T05:28:00.000+01:00;24.15;56.69
A;2021-02-20T04:03:00.000+01:00;23.92;55.32
A;2021-02-21T11:17:00.000+01:00;23.37;55.34
A;2021-02-23T21:05:00.000+01:00;23.56;63.96
A;2021-02-24T17:11:00.000+01:00;23.94;53.88
A;2021-02-27T19:51:00.000+01:00;24.05;65.34
A;2021-03-06T20:55:00.000+01:00;23.81;59.48
A;2021-03-07T08:51:00.000+01:00;23.88;35.24
A;2021-03-11T06:48:00.000+01:00;23.28;53.4
A;2021-03-27T01:03:00.000+01:00;24.65;65.26
A;2021-03-28T18:10:00.000+02:00;24.49;67.09
A;2021-04-06T07:20:00.000+02:00;24.01;88.72
A;2021-04-17T19:48:00.000+02:00;24.0;34.35
A;2021-04-30T16:42:00.000+02:00;24.18;88.9
A;2021-05-12T16:36:00.000+02:00;23.82;16.11
A;2021-05-27T11:05:00.000+02:00;23.59;50.13
A;2021-05-30T20:26:00.000+02:00;24.67;36.86
A;2021-06-01T16:11:00.000+02:00;24.35;48.84
A;2021-06-07T15:03:00.000+02:00;24.24;39.91
A;2021-06-10T14:29:00.000+02:00;23.71;6.35
A;2021-06-15T03:21:00.000+02:00;23.79;26.15
A;2021-06-19T10:20:00.000+02:00;24.15;61.1
A;2021-06-25T10:36:00.000+02:00;23.12;70.88
A;2021-06-29T14:28:00.000+02:00;22.73;40.66
A;2021-06-30T07:45:00.000+02:00;22.93;47.52
A;2021-06-30T22:32:00.000+02:00;23.04;38.66
A;2021-07-20T04:27:00.000+02:00;24.22;11.51
A;2021-07-24T15:21:00.000+02:00;24.11;27.97
A;2021-07-25T10:31:00.000+02:00;23.88;42.25
A;2021-07-28T05:42:00.000+02:00;23.4;64.65
A;2021-08-03T05:38:00.000+02:00;23.65;54.58
A;2021-08-12T06:02:00.000+02:00;23.78;42.26
A;2021-08-12T17:21:00.000+02:00;24.01;31.51
A;2021-08-15T14:17:00.000+02:00;24.75;27.88
A;2021-08-20T01:59:00.000+02:00;23.9;20.86
A;2021-08-21T05:26:00.000+02:00;23.48;23.06
A;2021-08-30T13:14:00.000+02:00;23.69;70.55
A;2021-09-07T01:14:00.000+02:00;23.98;23.48
A;2021-09-07T19:42:00.000+02:00;24.37;51.59
A;2021-09-09T16:30:00.000+02:00;23.94;37.15
A;2021-09-10T01:07:00.000+02:00;24.32;38.75
A;2021-09-15T14:29:00.000+02:00;23.9;28.92
A;2021-09-16T08:02:00.000+02:00;23.77;23.12
A;2021-09-22T10:00:00.000+02:00;23.87;45.4
A;2021-09-22T18:42:00.000+02:00;23.93;39.11
A;2021-09-25T23:58:00.000+02:00;23.47;67.92
A;2021-10-12T21:49:00.000+02:00;24.18;38.95
A;2021-10-17T20:01:00.000+02:00;24.0;62.76
A;2021-10-18T19:36:00.000+02:00;23.78;58.63
A;2021-10-21T07:20:00.000+02:00;23.75;57.19
A;2021-10-25T02:19:00.000+02:00;23.29;38.45
A;2021-10-25T15:34:00.000+02:00;23.46;39.0
A;2021-10-29T19:28:00.000+02:00;24.42;33.41
A;2021-10-31T08:44:00.000+01:00;24.31;41.87
A;2021-11-02T15:45:00.000+01:00;24.12;38.34
A;2021-11-07T15:00:00.000+01:00;23.84;9.88
A;2021-11-15T16:42:00.000+01:00;25.37;32.58
A;2021-11-25T05:14:00.000+01:00;23.3;28.87
A;2021-11-30T16:27:00.000+01:00;22.77;41.38
A;2021-12-05T02:04:00.000+01:00;23.78;64.13
A;2021-12-09T12:06:00.000+01:00;23.35;66.08
A;2021-12-13T15:32:00.000+01:00;23.42;56.41
A;2021-12-19T23:13:00.000+01:00;23.29;69.61
A;2021-12-21T00:53:00.000+01:00;23.33;45.87
A;2021-12-25T00:09:00.000+01:00;23.37;47.82
A;2022-01-05T16:34:00.000+01:00;24.23;50.4
A;2022-01-07T19:45:00.000+01:00;24.36;29.17
A;2022-01-11T09:31:00.000+01:00;25.02;49.53
A;2022-01-14T04:06:00.000+01:00;24.46;59.49
A;2022-01-15T21:21:00.000+01:00;24.29;81.47
A;2022-01-17T08:23:00.000+01:00;24.06;67.83
A;2022-01-24T08:55:00.000+01:00;23.25;89.24
A;2022-01-30T22:11:00.000+01:00;25.19;94.15
A;2022-01-31T19:20:00.000+01:00;25.53;58.23
A;2022-02-05T09:27:00.000+01:00;24.23;51.16
A;2022-02-09T10:35:00.000+01:00;22.97;65.05
A;2022-02-09T12:22:00.000+01:00;22.97;46.37
A;2022-02-14T18:09:00.000+01:00;24.04;52.59
A;2022-02-24T10:23:00.000+01:00;23.56;36.2
A;2022-02-28T20:31:00.000+01:00;23.95;24.72
A;2022-03-05T17:07:00.000+01:00;24.19;56.27
A;2022-03-07T23:08:00.000+01:00;24.0;91.31
A;2022-03-10T22:15:00.000+01:00;23.26;80.89
A;2022-03-15T02:20:00.000+01:00;23.76;60.48
A;2022-03-21T03:51:00.000+01:00;24.17;57.31
A;2022-03-27T03:50:00.000+02:00;22.78;65.44
A;2022-03-31T10:06:00.000+02:00;23.36;79.79
A;2022-04-09T00:21:00.000+02:00;22.94;0.61
A;2022-04-14T00:04:00.000+02:00;22.19;32.37
A;2022-04-18T05:50:00.000+02:00;21.58;53.97
A;2022-04-26T13:02:00.000+02:00;23.63;28.53
A;2022-05-03T14:49:00.000+02:00;22.69;37.97
A;2022-05-10T04:38:00.000+02:00;22.77;61.35
A;2022-05-17T23:33:00.000+02:00;23.91;70.17
A;2022-05-18T19:18:00.000+02:00;23.63;36.55
A;2022-05-22T20:23:00.000+02:00;23.88;33.21
A;2022-05-22T23:14:00.000+02:00;23.75;48.13
A;2022-05-28T09:01:00.000+02:00;24.15;56.86
A;2022-06-01T02:04:00.000+02:00;24.31;63.0
A;2022-06-13T06:20:00.000+02:00;24.38;56.6
A;2022-06-15T17:25:00.000+02:00;24.06;57.8
A;2022-06-18T07:49:00.000+02:00;24.19;47.66
A;2022-06-28T11:23:00.000+02:00;24.68;82.83
A;2022-07-08T00:17:00.000+02:00;24.56;57.97
A;2022-07-09T19:36:00.000+02:00;24.3;70.22
A;2022-07-14T21:49:00.000+02:00;24.34;75.92
A;2022-07-21T03:42:00.000+02:00;23.88;60.32
A;2022-07-24T15:19:00.000+02:00;24.36;32.73
A;2022-07-25T19:42:00.000+02:00;24.54;44.63
A;2022-08-02T16:19:00.000+02:00;24.26;62.58
A;2022-08-08T08:07:00.000+02:00;23.57;57.61
A;2022-08-31T16:08:00.000+02:00;23.4;49.78
A;2020-04-08T10:26:00.000+02:00;24.34;46.3
A;2020-04-13T15:08:00.000+02:00;25.01;66.24
A;2020-04-16T02:21:00.000+02:00;23.49;70.94
A;2020-04-24T21:48:00.000+02:00;24.35;98.36
A;2020-04-26T12:09:00.000+02:00;23.99;69.84
A;2020-05-01T09:11:00.000+02:00;23.74;46.65
A;2020-05-10T16:22:00.000+02:00;24.3;16.78
A;2020-05-14T12:38:00.000+02:00;23.94;56.7
A;2020-05-15T07:49:00.000+02:00;24.0;44.24
A;2020-05-19T00:39:00.000+02:00;23.38;45.44
A;2020-05-28T23:48:00.000+02:00;23.89;78.6
A;2020-05-30T03:55:00.000+02:00;23.58;56.01
A;2020-05-31T15:32:00.000+02:00;23.57;53.61
A;2020-06-05T21:51:00.000+02:00;23.71;45.37
A;2020-06-14T12:41:00.000+02:00;24.17;73.91
A;2020-06-20T10:38:00.000+02:00;23.61;76.4
A;2020-06-22T03:50:00.000+02:00;23.05;54.24
A;2020-06-27T21:20:00.000+02:00;23.13;48.4
A;2020-06-28T19:11:00.000+02:00;23.3;51.34
A;2020-07-05T23:54:00.000+02:00;23.83;58.23
A;2020-07-11T15:30:00.000+02:00;23.92;38.97
A;2020-07-12T21:54:00.000+02:00;24.01;34.63
A;2020-07-14T19:45:00.000+02:00;24.02;17.89
A;2020-07-20T16:42:00.000+02:00;23.6;9.94
A;2020-07-22T14:55:00.000+02:00;23.67;21.12
A;2020-08-18T10:12:00.000+02:00;23.73;11.48
A;2020-08-21T09:20:00.000+02:00;23.39;18.47
A;2020-08-22T03:13:00.000+02:00;23.31;31.92
A;2020-08-23T02:12:00.000+02:00;23.3;35.99
A;2020-09-03T22:45:00.000+02:00;23.56;26.81
A;2020-09-14T23:08:00.000+02:00;23.87;54.66
A;2020-09-26T00:56:00.000+02:00;23.85;24.88
A;2020-09-30T16:43:00.000+02:00;23.29;26.99
A;2020-10-01T05:45:00.000+02:00;23.15;39.46
A;2020-10-13T21:24:00.000+02:00;23.68;71.19
A;2020-10-16T06:41:00.000+02:00;23.78;74.33
A;2020-10-20T12:34:00.000+02:00;24.02;79.94
A;2020-10-24T03:53:00.000+02:00;24.28;65.62
A;2020-10-24T09:19:00.000+02:00;24.15;56.82
A;2020-10-24T20:34:00.000+02:00;24.23;46.48
A;2020-10-26T08:30:00.000+01:00;23.82;51.16
A;2020-11-02T03:09:00.000+01:00;23.86;83.08
A;2020-11-02T06:28:00.000+01:00;23.73;86.0
A;2020-11-07T15:04:00.000+01:00;24.3;64.97
A;2020-11-07T18:23:00.000+01:00;24.14;58.41
A;2020-11-14T04:18:00.000+01:00;23.95;39.86
A;2020-11-17T22:30:00.000+01:00;23.1;74.44
A;2020-11-19T06:44:00.000+01:00;22.46;73.78
A;2020-11-28T10:02:00.000+01:00;23.73;62.91
A;2020-12-03T16:56:00.000+01:00;24.82;56.91
A;2020-12-10T10:14:00.000+01:00;23.83;74.79
A;2020-12-16T04:36:00.000+01:00;23.22;51.61
A;2020-12-29T11:24:00.000+01:00;23.48;83.77
A;2021-01-01T09:39:00.000+01:00;23.87;57.4
A;2021-01-14T08:45:00.000+01:00;24.16;43.56
A;2021-01-19T17:37:00.000+01:00;23.13;66.86
A;2021-01-26T01:42:00.000+01:00;24.06;92.66
A;2021-01-27T05:17:00.000+01:00;24.0;67.41
A;2021-01-30T09:11:00.000+01:00;23.97;63.32
A;2021-02-02T07:40:00.000+01:00;23.32;55.32
A;2021-02-07T00:00:00.000+01:00;23.15;47.56
A;2021-02-13T07:55:00.000+01:00;23.5;26.02
A;2021-02-14T13:45:00.000+01:00;24.01;21.39
A;2021-02-14T15:01:00.000+01:00;24.01;34.82
A;2021-02-25T00:27:00.000+01:00;23.6;11.92
A;2021-02-27T03:58:00.000+01:00;24.14;43.4
A;2021-02-28T14:53:00.000+01:00;24.33;32.87
A;2021-03-04T21:58:00.000+01:00;23.64;58.98
A;2021-03-07T22:52:00.000+01:00;24.02;66.58
A;2021-03-09T22:55:00.000+01:00;23.91;48.28
A;2021-03-11T10:18:00.000+01:00;23.12;53.23
A;2021-03-14T10:13:00.000+01:00;22.79;39.43
A;2021-03-15T01:21:00.000+01:00;22.9;52.01
A;2021-03-16T04:29:00.000+01:00;23.3;54.8
A;2021-04-06T00:23:00.000+02:00;24.24;25.91
A;2021-04-23T02:35:00.000+02:00;22.12;25.57
A;2021-05-02T16:50:00.000+02:00;24.37;17.59
A;2021-05-07T09:19:00.000+02:00;24.61;57.04
A;2021-05-09T21:53:00.000+02:00;24.16;78.57
A;2021-05-14T22:59:00.000+02:00;24.58;79.34
A;2021-05-15T03:45:00.000+02:00;24.2;67.23
A;2021-05-16T14:42:00.000+02:00;24.85;53.84
A;2021-05-16T14:52:00.000+02:00;24.87;60.12
A;2021-05-24T21:56:00.000+02:00;24.07;20.59
A;2021-05-28T15:56:00.000+02:00;24.06;19.57
A;2021-05-29T23:38:00.000+02:00;24.54;29.42
A;2021-06-03T19:46:00.000+02:00;24.85;22.74
A;2021-06-17T06:02:00.000+02:00;24.42;11.04
A;2021-06-20T00:46:00.000+02:00;23.92;51.85
A;2021-06-20T01:26:00.000+02:00;23.86;43.03
A;2021-06-20T08:27:00.000+02:00;24.01;52.75
A;2021-06-22T02:17:00.000+02:00;23.65;53.63
A;2021-06-23T03:45:00.000+02:00;23.23;50.01
A;2021-06-23T17:56:00.000+02:00;23.12;57.0
A;2021-06-23T21:38:00.000+02:00;23.21;57.69
A;2021-06-25T14:06:00.000+02:00;23.06;58.05
A;2021-07-02T01:07:00.000+02:00;22.75;13.85
A;2021-07-04T13:33:00.000+02:00;23.24;35.89
A;2021-07-12T04:10:00.000+02:00;23.1;83.79
A;2021-07-13T13:45:00.000+02:00;23.74;48.34
A;2021-07-16T06:37:00.000+02:00;23.93;55.61
A;2021-07-17T05:21:00.000+02:00;24.05;57.45
A;2021-07-17T17:05:00.000+02:00;24.1;52.58
A;2021-07-30T21:13:00.000+02:00;23.06;45.97
A;2021-07-31T01:58:00.000+02:00;23.05;41.44
A;2021-08-03T06:31:00.000+02:00;23.64;49.67
A;2021-08-10T03:20:00.000+02:00;23.07;67.72
A;2021-09-09T15:44:00.000+02:00;23.91;92.96
A;2021-09-14T12:58:00.000+02:00;24.42;83.56
A;2021-09-17T04:09:00.000+02:00;23.64;49.49
A;2021-09-28T08:38:00.000+02:00;23.41;4.93
A;2021-10-01T04:09:00.000+02:00;23.47;24.5
A;2021-10-03T13:04:00.000+02:00;23.45;30.43
A;2021-10-09T10:47:00.000+02:00;24.17;65.56
A;2021-10-12T22:00:00.000+02:00;24.19;51.53
A;2021-10-13T21:54:00.000+02:00;24.14;55.05
A;2021-10-18T10:30:00.000+02:00;23.77;52.95
A;2021-10-24T06:09:00.000+02:00;22.95;48.69
A;2021-10-30T05:30:00.000+02:00;24.53;7.75
A;2021-11-10T23:21:00.000+01:00;24.26;71.83
A;2021-11-15T05:36:00.000+01:00;25.01;78.25
A;2021-11-25T09:26:00.000+01:00;23.3;11.51
A;2021-11-26T09:04:00.000+01:00;22.84;35.52
A;2021-12-07T22:06:00.000+01:00;23.68;79.23
