fullRoomLocation;dateTime;avg_temp;avg_hum
A.A.0.A;2020-04-04T07:50:00.000+02:00;12.97;1.43
A.A.0.A;2020-04-07T14:38:00.000+02:00;19.37;28.44
A.A.0.A;2020-04-08T14:28:00.000+02:00;22.5;25.08
A.A.0.A;2020-04-15T02:03:00.000+02:00;29.03;48.9
A.A.0.A;2020-04-19T17:27:00.000+02:00;25.34;71.96
A.A.0.A;2020-04-27T20:55:00.000+02:00;21.52;7.95
A.A.0.A;2020-05-10T09:35:00.000+02:00;18.05;33.65
A.A.0.A;2020-05-14T10:37:00.000+02:00;16.94;40.68
A.A.0.A;2020-05-16T13:39:00.000+02:00;15.54;39.45
A.A.0.A;2020-05-18T13:07:00.000+02:00;17.12;49.55
A.A.0.A;2020-05-23T21:44:00.000+02:00;27.6;47.16
A.A.0.A;2020-05-29T01:36:00.000+02:00;28.1;28.07
A.A.0.A;2020-06-06T09:49:00.000+02:00;37.47;41.0
A.A.0.A;2020-06-06T16:15:00.000+02:00;25.03;44.38
A.A.0.A;2020-06-21T02:07:00.000+02:00;27.96;26.75
A.A.0.A;2020-06-26T18:54:00.000+02:00;24.57;26.44
A.A.0.A;2020-07-05T07:23:00.000+02:00;29.25;36.59
A.A.0.A;2020-07-06T10:43:00.000+02:00;31.85;42.56
A.A.0.A;2020-07-11T17:24:00.000+02:00;31.43;51.99
A.A.0.A;2020-07-15T12:01:00.000+02:00;26.37;64.98
A.A.0.A;2020-07-18T10:25:00.000+02:00;29.45;60.63
A.A.0.A;2020-07-20T06:41:00.000+02:00;25.63;53.56
A.A.0.A;2020-07-21T18:46:00.000+02:00;24.16;55.1
A.A.0.A;2020-07-30T23:27:00.000+02:00;15.61;0.98
A.A.0.A;2020-08-25T09:17:00.000+02:00;36.26;15.6
A.A.0.A;2020-08-30T05:28:00.000+02:00;32.57;21.52
A.A.0.A;2020-09-19T23:51:00.000+02:00;19.71;99.68
A.A.0.A;2020-09-21T08:49:00.000+02:00;27.34;65.28
A.A.0.A;2020-09-27T02:51:00.000+02:00;25.8;49.58
A.A.0.A;2020-09-30T06:33:00.000+02:00;23.18;36.36
A.A.0.A;2020-10-17T11:19:00.000+02:00;33.15;77.57
A.A.0.A;2020-10-17T20:20:00.000+02:00;28.46;39.46
A.A.0.A;2020-10-26T22:56:00.000+01:00;13.73;76.09
A.A.0.A;2020-11-04T14:39:00.000+01:00;36.57;17.59
A.A.0.A;2020-11-04T18:00:00.000+01:00;28.66;48.36
A.A.0.A;2020-11-18T05:49:00.000+01:00;28.76;80.01
A.A.0.A;2020-11-21T09:00:00.000+01:00;32.95;40.3
A.A.0.A;2020-12-25T13:52:00.000+01:00;18.38;18.58
A.A.0.A;2020-12-27T13:12:00.000+01:00;16.2;43.6
A.A.0.A;2021-01-05T17:11:00.000+01:00;30.44;59.78
A.A.0.A;2021-01-14T13:28:00.000+01:00;18.3;70.59
A.A.0.A;2021-01-17T06:47:00.000+01:00;20.4;65.12
A.A.0.A;2021-01-18T16:58:00.000+01:00;25.62;71.63
A.A.0.A;2021-02-09T12:39:00.000+01:00;20.17;88.0
A.A.0.A;2021-02-09T23:16:00.000+01:00;18.28;65.82
A.A.0.A;2021-02-11T05:01:00.000+01:00;20.18;74.08
A.A.0.A;2021-02-14T15:29:00.000+01:00;20.87;77.78
A.A.0.A;2021-02-15T19:43:00.000+01:00;22.24;76.16
A.A.0.A;2021-03-11T09:27:00.000+01:00;25.55;50.2
A.A.0.A;2021-03-12T16:53:00.000+01:00;25.7;31.66
A.A.0.A;2021-03-19T04:54:00.000+01:00;21.97;19.64
A.A.0.A;2021-03-23T16:30:00.000+01:00;25.17;13.75
A.A.0.A;2021-03-29T06:46:00.000+02:00;23.1;34.27
A.A.0.A;2021-04-04T02:17:00.000+02:00;15.54;79.51
A.A.0.A;2021-04-15T21:12:00.000+02:00;16.68;70.01
A.A.0.A;2021-04-18T00:44:00.000+02:00;16.2;40.5
A.A.0.A;2021-04-18T13:12:00.000+02:00;19.85;51.55
A.A.0.A;2021-04-19T05:04:00.000+02:00;19.12;41.33
