fullRoomLocation;dateTime;avg_temp;avg_hum
A.A.0.B;2020-04-06T13:35:00.000+02:00;28.79;31.09
A.A.0.B;2020-04-29T01:54:00.000+02:00;36.84;94.92
A.A.0.B;2020-04-29T04:51:00.000+02:00;33.57;96.58
A.A.0.B;2020-05-04T14:13:00.000+02:00;29.44;84.39
A.A.0.B;2020-05-06T23:05:00.000+02:00;22.9;75.95
A.A.0.B;2020-05-12T10:32:00.000+02:00;26.54;71.35
A.A.0.B;2020-05-18T20:02:00.000+02:00;23.16;58.2
A.A.0.B;2020-05-29T05:51:00.000+02:00;13.46;30.79
A.A.0.B;2020-05-31T09:50:00.000+02:00;11.86;25.5
A.A.0.B;2020-06-06T23:29:00.000+02:00;23.22;40.9
A.A.0.B;2020-06-17T14:53:00.000+02:00;33.59;19.28
A.A.0.B;2020-06-18T21:15:00.000+02:00;22.67;41.15
A.A.0.B;2020-07-01T18:39:00.000+02:00;17.81;71.1
A.A.0.B;2020-07-04T06:55:00.000+02:00;19.78;66.97
A.A.0.B;2020-07-12T09:48:00.000+02:00;18.55;37.27
A.A.0.B;2020-07-16T11:16:00.000+02:00;23.18;27.79
A.A.0.B;2020-08-26T19:00:00.000+02:00;29.91;39.75
A.A.0.B;2020-08-26T23:23:00.000+02:00;25.09;36.88
A.A.0.B;2020-08-29T12:49:00.000+02:00;21.38;50.25
A.A.0.B;2020-09-01T05:12:00.000+02:00;20.04;53.92
A.A.0.B;2020-09-07T12:07:00.000+02:00;18.56;72.15
A.A.0.B;2020-09-08T03:09:00.000+02:00;19.28;79.97
A.A.0.B;2020-09-14T03:58:00.000+02:00;18.96;64.14
A.A.0.B;2020-09-18T01:06:00.000+02:00;18.41;30.26
A.A.0.B;2020-09-23T05:14:00.000+02:00;29.47;66.0
A.A.0.B;2020-09-25T17:01:00.000+02:00;25.19;75.55
A.A.0.B;2020-10-01T15:54:00.000+02:00;24.33;48.27
A.A.0.B;2020-10-02T18:31:00.000+02:00;26.21;41.9
A.A.0.B;2020-10-04T19:24:00.000+02:00;28.77;49.56
A.A.0.B;2020-10-15T17:25:00.000+02:00;21.5;94.19
A.A.0.B;2020-10-16T12:47:00.000+02:00;19.38;55.29
A.A.0.B;2020-10-18T20:06:00.000+02:00;16.55;37.32
A.A.0.B;2020-10-19T11:08:00.000+02:00;15.62;47.49
A.A.0.B;2020-11-07T20:35:00.000+01:00;37.08;38.37
A.A.0.B;2020-11-12T12:23:00.000+01:00;30.92;49.58
A.A.0.B;2020-11-12T14:09:00.000+01:00;26.36;34.28
A.A.0.B;2020-11-16T07:58:00.000+01:00;24.41;32.26
A.A.0.B;2020-11-19T10:39:00.000+01:00;25.64;41.61
A.A.0.B;2020-11-20T03:23:00.000+01:00;31.91;55.76
A.A.0.B;2020-11-28T23:49:00.000+01:00;27.73;37.09
A.A.0.B;2020-12-05T13:00:00.000+01:00;20.25;59.07
A.A.0.B;2020-12-06T04:20:00.000+01:00;19.63;83.73
A.A.0.B;2020-12-06T08:52:00.000+01:00;19.28;58.54
A.A.0.B;2020-12-17T06:15:00.000+01:00;11.12;85.76
A.A.0.B;2020-12-25T11:00:00.000+01:00;21.26;20.83
A.A.0.B;2020-12-26T15:09:00.000+01:00;26.9;57.53
A.A.0.B;2020-12-29T00:30:00.000+01:00;28.41;38.97
A.A.0.B;2020-12-29T00:44:00.000+01:00;27.12;37.13
A.A.0.B;2021-01-07T06:07:00.000+01:00;16.99;42.45
A.A.0.B;2021-01-10T01:48:00.000+01:00;17.2;49.86
A.A.0.B;2021-01-10T20:36:00.000+01:00;19.85;59.08
A.A.0.B;2021-01-15T06:45:00.000+01:00;23.65;69.32
A.A.0.B;2021-01-19T14:57:00.000+01:00;19.38;45.36
A.A.0.B;2021-01-23T00:14:00.000+01:00;12.72;22.02
A.A.0.B;2021-01-24T14:02:00.000+01:00;18.27;26.96
A.A.0.B;2021-02-05T11:24:00.000+01:00;15.16;71.78
A.A.0.B;2021-02-08T17:40:00.000+01:00;18.7;57.4
A.A.0.B;2021-02-15T07:37:00.000+01:00;25.79;42.25
A.A.0.B;2021-02-15T08:17:00.000+01:00;21.46;43.55
A.A.0.B;2021-02-16T05:28:00.000+01:00;22.09;56.69
A.A.0.B;2021-02-20T04:03:00.000+01:00;25.61;55.32
A.A.0.B;2021-02-21T11:17:00.000+01:00;23.84;55.34
A.A.0.B;2021-02-23T21:05:00.000+01:00;23.31;63.96
A.A.0.B;2021-02-24T17:11:00.000+01:00;25.59;53.88
A.A.0.B;2021-02-27T19:51:00.000+01:00;21.09;65.34
A.A.0.B;2021-03-06T20:55:00.000+01:00;28.16;59.48
A.A.0.B;2021-03-07T08:51:00.000+01:00;28.22;35.24
A.A.0.B;2021-03-11T06:48:00.000+01:00;23.06;53.4
A.A.0.B;2021-03-27T01:03:00.000+01:00;20.9;65.26
A.A.0.B;2021-03-28T18:10:00.000+02:00;28.76;67.09
A.A.0.B;2021-04-06T07:20:00.000+02:00;20.14;88.72
A.A.0.B;2021-04-17T19:48:00.000+02:00;30.1;34.35
A.A.0.B;2021-04-30T16:42:00.000+02:00;22.07;88.9
A.A.0.B;2021-05-12T16:36:00.000+02:00;14.99;16.11
A.A.0.B;2021-05-27T11:05:00.000+02:00;14.92;50.13
A.A.0.B;2021-05-30T20:26:00.000+02:00;15.24;36.86
A.A.0.B;2021-06-01T16:11:00.000+02:00;19.92;48.84
A.A.0.B;2021-06-07T15:03:00.000+02:00;29.22;39.91
A.A.0.B;2021-06-10T14:29:00.000+02:00;26.02;6.35
A.A.0.B;2021-06-15T03:21:00.000+02:00;25.79;26.15
A.A.0.B;2021-06-19T10:20:00.000+02:00;31.12;61.1
A.A.0.B;2021-06-25T10:36:00.000+02:00;24.22;70.88
A.A.0.B;2021-06-29T14:28:00.000+02:00;13.34;40.66
A.A.0.B;2021-06-30T07:45:00.000+02:00;17.63;47.52
A.A.0.B;2021-06-30T22:32:00.000+02:00;21.16;38.66
A.A.0.B;2021-07-20T04:27:00.000+02:00;13.03;11.51
A.A.0.B;2021-07-24T15:21:00.000+02:00;12.36;27.97
A.A.0.B;2021-07-25T10:31:00.000+02:00;16.47;42.25
A.A.0.B;2021-07-28T05:42:00.000+02:00;16.68;64.65
A.A.0.B;2021-08-03T05:38:00.000+02:00;15.56;54.58
A.A.0.B;2021-08-12T06:02:00.000+02:00;29.9;42.26
A.A.0.B;2021-08-12T17:21:00.000+02:00;32.09;31.51
A.A.0.B;2021-08-15T14:17:00.000+02:00;32.6;27.88
A.A.0.B;2021-08-20T01:59:00.000+02:00;21.82;20.86
A.A.0.B;2021-08-21T05:26:00.000+02:00;26.89;23.06
A.A.0.B;2021-08-30T13:14:00.000+02:00;26.36;70.55
A.A.0.B;2021-09-07T01:14:00.000+02:00;24.84;23.48
A.A.0.B;2021-09-07T19:42:00.000+02:00;28.56;51.59
A.A.0.B;2021-09-09T16:30:00.000+02:00;29.29;37.15
A.A.0.B;2021-09-10T01:07:00.000+02:00;28.6;38.75
A.A.0.B;2021-09-15T14:29:00.000+02:00;25.14;28.92
A.A.0.B;2021-09-16T08:02:00.000+02:00;25.0;23.12
A.A.0.B;2021-09-22T10:00:00.000+02:00;24.11;45.4
A.A.0.B;2021-09-22T18:42:00.000+02:00;22.19;39.11
A.A.0.B;2021-09-25T23:58:00.000+02:00;20.43;67.92
A.A.0.B;2021-10-12T21:49:00.000+02:00;15.88;38.95
A.A.0.B;2021-10-17T20:01:00.000+02:00;13.82;62.76
A.A.0.B;2021-10-18T19:36:00.000+02:00;12.91;58.63
A.A.0.B;2021-10-21T07:20:00.000+02:00;14.43;57.19
A.A.0.B;2021-10-25T02:19:00.000+02:00;20.83;38.45
A.A.0.B;2021-10-25T15:34:00.000+02:00;21.7;39.0
A.A.0.B;2021-10-29T19:28:00.000+02:00;26.62;33.41
A.A.0.B;2021-10-31T08:44:00.000+01:00;28.33;41.87
A.A.0.B;2021-11-02T15:45:00.000+01:00;23.22;38.34
A.A.0.B;2021-11-07T15:00:00.000+01:00;13.48;9.88
A.A.0.B;2021-11-15T16:42:00.000+01:00;36.53;32.58
A.A.0.B;2021-11-25T05:14:00.000+01:00;18.41;28.87
A.A.0.B;2021-11-30T16:27:00.000+01:00;22.81;41.38
A.A.0.B;2021-12-05T02:04:00.000+01:00;32.0;64.13
A.A.0.B;2021-12-09T12:06:00.000+01:00;33.37;66.08
A.A.0.B;2021-12-13T15:32:00.000+01:00;32.88;56.41
A.A.0.B;2021-12-19T23:13:00.000+01:00;30.6;69.61
A.A.0.B;2021-12-21T00:53:00.000+01:00;20.3;45.87
A.A.0.B;2021-12-25T00:09:00.000+01:00;17.84;47.82
A.A.0.B;2022-01-05T16:34:00.000+01:00;30.79;50.4
A.A.0.B;2022-01-07T19:45:00.000+01:00;20.72;29.17
